Date,Open,High,Low,Close,Volume,Asset_name
2020-07-16 08:00:00,8.64,8.7,7.63,8.3,4767.32,ADAUPUSDT
2020-07-16 12:00:00,8.31,8.94,8.2,8.87,3981.62,ADAUPUSDT
2020-07-16 16:00:00,8.99,9.12,8.28,8.28,2610.44,ADAUPUSDT
2020-07-16 20:00:00,8.4,8.62,8.01,8.51,1965.06,ADAUPUSDT
2020-07-17 00:00:00,8.54,8.59,8.23,8.32,2326.99,ADAUPUSDT
2020-07-17 04:00:00,8.38,8.5,7.83,7.99,2188.5,ADAUPUSDT
2020-07-17 08:00:00,8.08,8.38,7.88,8.27,2456.53,ADAUPUSDT
2020-07-17 12:00:00,8.32,8.45,8.18,8.22,2309.75,ADAUPUSDT
2020-07-17 16:00:00,8.2,8.2,7.94,8.04,1340.54,ADAUPUSDT
2020-07-17 20:00:00,8.07,8.12,7.85,7.88,2128.72,ADAUPUSDT
2020-07-18 00:00:00,7.87,7.89,7.27,7.53,16181.73,ADAUPUSDT
2020-07-18 04:00:00,7.5,7.75,7.5,7.6,1789.59,ADAUPUSDT
2020-07-18 08:00:00,7.57,7.77,7.43,7.66,3037.27,ADAUPUSDT
2020-07-18 12:00:00,7.62,7.75,7.56,7.72,1149.45,ADAUPUSDT
2020-07-18 16:00:00,7.77,8.1,7.68,7.9,2783.06,ADAUPUSDT
2020-07-18 20:00:00,7.97,8.05,7.84,7.85,810.84,ADAUPUSDT
2020-07-19 00:00:00,7.84,8.01,7.79,7.87,1136.62,ADAUPUSDT
2020-07-19 04:00:00,7.81,8.1,7.81,8.02,715.23,ADAUPUSDT
2020-07-19 08:00:00,8.0,8.05,7.79,7.9,1588.89,ADAUPUSDT
2020-07-19 12:00:00,7.8,7.84,7.69,7.7,2273.6,ADAUPUSDT
2020-07-19 16:00:00,7.67,7.97,7.65,7.75,3591.6,ADAUPUSDT
2020-07-19 20:00:00,7.78,8.18,7.78,8.08,1319.12,ADAUPUSDT
2020-07-20 00:00:00,8.06,8.07,7.94,7.99,2833.31,ADAUPUSDT
2020-07-20 04:00:00,8.05,8.05,7.82,7.84,876.9,ADAUPUSDT
2020-07-20 08:00:00,7.91,7.96,7.63,7.67,1882.74,ADAUPUSDT
2020-07-20 12:00:00,7.67,7.74,7.64,7.73,3236.83,ADAUPUSDT
2020-07-20 16:00:00,7.68,7.72,6.49,7.15,13952.12,ADAUPUSDT
2020-07-20 20:00:00,7.15,7.31,6.94,6.98,3639.66,ADAUPUSDT
2020-07-21 00:00:00,6.97,7.28,6.8,7.13,2624.85,ADAUPUSDT
2020-07-21 04:00:00,7.13,7.71,7.13,7.64,4918.69,ADAUPUSDT
2020-07-21 08:00:00,7.67,8.22,7.6,8.07,9560.51,ADAUPUSDT
2020-07-21 12:00:00,8.04,8.1,7.74,8.07,5682.15,ADAUPUSDT
2020-07-21 16:00:00,8.08,8.18,7.92,7.95,1315.44,ADAUPUSDT
2020-07-21 20:00:00,7.95,8.05,7.86,7.93,1119.29,ADAUPUSDT
2020-07-22 00:00:00,8.01,8.01,7.67,7.78,1940.99,ADAUPUSDT
2020-07-22 04:00:00,7.78,7.78,7.56,7.59,3485.04,ADAUPUSDT
2020-07-22 08:00:00,7.61,7.97,7.61,7.89,3190.6,ADAUPUSDT
2020-07-22 12:00:00,7.91,7.91,7.69,7.79,1405.55,ADAUPUSDT
2020-07-22 16:00:00,7.8,7.8,7.61,7.68,867.43,ADAUPUSDT
2020-07-22 20:00:00,7.7,8.27,7.67,8.12,11113.7,ADAUPUSDT
2020-07-23 00:00:00,8.12,8.6,8.12,8.25,12204.2,ADAUPUSDT
2020-07-23 04:00:00,8.26,8.34,8.2,8.26,3950.37,ADAUPUSDT
2020-07-23 08:00:00,8.25,8.48,8.25,8.44,4942.89,ADAUPUSDT
2020-07-23 12:00:00,8.46,9.23,8.14,9.21,13091.29,ADAUPUSDT
2020-07-23 16:00:00,9.26,9.28,9.03,9.18,4315.81,ADAUPUSDT
2020-07-23 20:00:00,9.07,9.13,8.98,9.03,1785.85,ADAUPUSDT
2020-07-24 00:00:00,9.07,9.07,8.71,8.8,5010.3,ADAUPUSDT
2020-07-24 04:00:00,8.84,8.89,8.61,8.78,4067.13,ADAUPUSDT
2020-07-24 08:00:00,8.77,8.98,8.7,8.89,2633.62,ADAUPUSDT
