Date,Open,High,Low,Close,Volume,Asset_name
2022-02-21 12:00:00,1.0,18.9995,1.0,6.7893,36545539.49,ALPINEUSDT
2022-02-21 16:00:00,6.7663,7.456,6.3377,6.9418,9539600.09,ALPINEUSDT
2022-02-21 20:00:00,6.9497,7.076,5.1617,5.4437,4736494.7,ALPINEUSDT
2022-02-22 00:00:00,5.4311,5.7339,4.932,5.3386,4194044.01,ALPINEUSDT
2022-02-22 04:00:00,5.3375,7.8,5.2531,7.0037,9944572.38,ALPINEUSDT
2022-02-22 08:00:00,7.0037,7.04,5.621,5.7652,6193763.28,ALPINEUSDT
2022-02-22 12:00:00,5.767,5.95,5.1271,5.1584,4548113.76,ALPINEUSDT
2022-02-22 16:00:00,5.1591,5.45,4.9666,5.0407,2140775.99,ALPINEUSDT
2022-02-22 20:00:00,5.0486,5.433,4.4212,4.8894,4598254.58,ALPINEUSDT
2022-02-23 00:00:00,4.8894,4.9342,4.4498,4.72,1328156.25,ALPINEUSDT
2022-02-23 04:00:00,4.7154,5.2455,4.5654,4.7731,1979179.22,ALPINEUSDT
2022-02-23 08:00:00,4.7728,5.16,4.65,4.9232,2438527.4,ALPINEUSDT
2022-02-23 12:00:00,4.9232,5.5329,4.84,4.961,4448101.41,ALPINEUSDT
2022-02-23 16:00:00,4.9619,5.0,4.64,4.6823,1071044.05,ALPINEUSDT
2022-02-23 20:00:00,4.6817,5.0,4.57,4.6606,885802.1,ALPINEUSDT
2022-02-24 00:00:00,4.6606,4.95,4.2822,4.3586,1292031.11,ALPINEUSDT
2022-02-24 04:00:00,4.3637,4.46,3.4567,3.7176,2304848.18,ALPINEUSDT
2022-02-24 08:00:00,3.7158,3.81,3.5151,3.6,1199872.81,ALPINEUSDT
2022-02-24 12:00:00,3.6,3.85,3.5308,3.7929,1111654.88,ALPINEUSDT
2022-02-24 16:00:00,3.7926,4.04,3.6652,3.963,1158929.42,ALPINEUSDT
2022-02-24 20:00:00,3.963,4.089,3.8138,3.8611,974810.65,ALPINEUSDT
2022-02-25 00:00:00,3.8611,4.1417,3.7821,3.9756,864861.67,ALPINEUSDT
2022-02-25 04:00:00,3.9797,4.03,3.8424,3.8847,508553.72,ALPINEUSDT
2022-02-25 08:00:00,3.8792,3.8847,3.668,3.8672,750879.08,ALPINEUSDT
2022-02-25 12:00:00,3.8646,3.8924,3.6865,3.7651,811085.5,ALPINEUSDT
2022-02-25 16:00:00,3.762,3.8488,3.68,3.718,494714.91,ALPINEUSDT
2022-02-25 20:00:00,3.718,3.7583,3.6249,3.6985,380729.54,ALPINEUSDT
2022-02-26 00:00:00,3.7008,3.8899,3.7,3.7809,494939.68,ALPINEUSDT
2022-02-26 04:00:00,3.7809,3.8998,3.665,3.8435,550318.93,ALPINEUSDT
2022-02-26 08:00:00,3.8433,3.8555,3.7001,3.7374,495297.83,ALPINEUSDT
2022-02-26 12:00:00,3.7335,3.7616,3.69,3.722,316978.14,ALPINEUSDT
2022-02-26 16:00:00,3.722,3.777,3.5872,3.6683,341938.22,ALPINEUSDT
2022-02-26 20:00:00,3.67,3.6888,3.4829,3.5426,305810.46,ALPINEUSDT
2022-02-27 00:00:00,3.5489,3.5653,3.251,3.3432,384099.29,ALPINEUSDT
2022-02-27 04:00:00,3.3433,3.4822,3.3033,3.4489,316659.56,ALPINEUSDT
2022-02-27 08:00:00,3.4489,3.6558,3.3857,3.5651,543348.47,ALPINEUSDT
2022-02-27 12:00:00,3.5664,3.5664,3.3585,3.4264,460686.52,ALPINEUSDT
2022-02-27 16:00:00,3.4264,3.4611,3.1165,3.1762,499146.95,ALPINEUSDT
2022-02-27 20:00:00,3.1768,3.5941,3.13,3.2124,1319091.0,ALPINEUSDT
2022-02-28 00:00:00,3.2124,3.54,3.2023,3.54,420375.77,ALPINEUSDT
2022-02-28 04:00:00,3.54,3.77,3.4038,3.5423,1649781.22,ALPINEUSDT
2022-02-28 08:00:00,3.5383,3.8,3.3964,3.6181,1883745.93,ALPINEUSDT
2022-02-28 12:00:00,3.622,3.969,3.558,3.7513,1577927.07,ALPINEUSDT
2022-02-28 16:00:00,3.751,3.8416,3.6063,3.7619,885274.3,ALPINEUSDT
2022-02-28 20:00:00,3.7715,3.7725,3.5746,3.631,534045.4,ALPINEUSDT
2022-03-01 00:00:00,3.6316,3.73,3.42,3.5499,699447.53,ALPINEUSDT
2022-03-01 04:00:00,3.5499,3.6195,3.502,3.5644,336024.65,ALPINEUSDT
2022-03-01 08:00:00,3.5644,3.6095,3.4909,3.5335,353098.28,ALPINEUSDT
2022-03-01 12:00:00,3.5383,3.5635,3.4711,3.5022,504968.35,ALPINEUSDT
