Date,Open,High,Low,Close,Volume,Asset_name
2020-08-06 04:00:00,10.0,10.15,10.0,10.13,2985.84,BNBUPUSDT
2020-08-06 08:00:00,10.13,10.34,10.05,10.06,2475.12,BNBUPUSDT
2020-08-06 12:00:00,10.06,10.46,10.0,10.29,3514.81,BNBUPUSDT
2020-08-06 16:00:00,10.27,10.27,10.0,10.06,3113.34,BNBUPUSDT
2020-08-06 20:00:00,10.02,10.1,9.72,9.85,3698.11,BNBUPUSDT
2020-08-07 00:00:00,9.92,10.02,9.78,9.98,2424.79,BNBUPUSDT
2020-08-07 04:00:00,9.85,9.93,9.5,9.78,3550.32,BNBUPUSDT
2020-08-07 08:00:00,9.77,10.19,9.77,9.86,8796.12,BNBUPUSDT
2020-08-07 12:00:00,10.04,10.07,9.52,9.81,12984.71,BNBUPUSDT
2020-08-07 16:00:00,9.65,9.67,8.14,8.97,29536.99,BNBUPUSDT
2020-08-07 20:00:00,9.18,9.5,9.06,9.37,2184.75,BNBUPUSDT
2020-08-08 00:00:00,9.39,9.39,8.96,8.99,611.71,BNBUPUSDT
2020-08-08 04:00:00,8.95,9.29,8.91,9.24,2020.43,BNBUPUSDT
2020-08-08 08:00:00,9.17,9.61,9.06,9.61,4085.86,BNBUPUSDT
2020-08-08 12:00:00,9.68,9.86,9.42,9.77,5337.63,BNBUPUSDT
2020-08-08 16:00:00,9.5,9.73,9.4,9.5,783.06,BNBUPUSDT
2020-08-08 20:00:00,9.56,10.08,9.43,10.03,3075.83,BNBUPUSDT
2020-08-09 00:00:00,9.9,10.04,9.69,9.98,815.05,BNBUPUSDT
2020-08-09 04:00:00,9.92,9.92,9.62,9.72,1283.06,BNBUPUSDT
2020-08-09 08:00:00,9.81,9.81,9.33,9.65,4537.94,BNBUPUSDT
2020-08-09 12:00:00,9.65,9.65,9.13,9.33,912.85,BNBUPUSDT
2020-08-09 16:00:00,9.36,9.68,9.16,9.57,2149.62,BNBUPUSDT
2020-08-09 20:00:00,9.67,9.67,9.4,9.49,6579.78,BNBUPUSDT
2020-08-10 00:00:00,9.62,9.91,9.56,9.9,7676.55,BNBUPUSDT
2020-08-10 04:00:00,9.86,9.97,9.63,9.85,3605.38,BNBUPUSDT
2020-08-10 08:00:00,9.74,9.85,9.36,9.74,11377.44,BNBUPUSDT
2020-08-10 12:00:00,9.62,9.9,9.61,9.83,823.24,BNBUPUSDT
2020-08-10 16:00:00,9.84,9.91,9.7,9.79,5954.67,BNBUPUSDT
