Date,Open,High,Low,Close,Volume,Asset_name
2021-10-04 08:00:00,2.421,3.28,2.421,2.711,1737875.5,CVPUSDT
2021-10-04 12:00:00,2.711,2.745,2.481,2.559,1418153.5,CVPUSDT
2021-10-04 16:00:00,2.559,2.699,2.488,2.519,755444.6,CVPUSDT
2021-10-04 20:00:00,2.519,2.561,2.393,2.462,559389.5,CVPUSDT
2021-10-05 00:00:00,2.462,2.7,2.454,2.519,742685.5,CVPUSDT
2021-10-05 04:00:00,2.513,2.699,2.462,2.483,491192.8,CVPUSDT
2021-10-05 08:00:00,2.475,2.594,2.465,2.5,486536.5,CVPUSDT
2021-10-05 12:00:00,2.495,2.5,2.344,2.393,685940.9,CVPUSDT
2021-10-05 16:00:00,2.391,2.396,2.302,2.371,478237.2,CVPUSDT
2021-10-05 20:00:00,2.371,2.381,2.33,2.37,277463.1,CVPUSDT
2021-10-06 00:00:00,2.37,2.408,2.335,2.344,289571.9,CVPUSDT
2021-10-06 04:00:00,2.348,2.349,2.248,2.311,388243.0,CVPUSDT
2021-10-06 08:00:00,2.311,2.375,2.205,2.249,421849.4,CVPUSDT
2021-10-06 12:00:00,2.246,2.379,2.236,2.314,474207.7,CVPUSDT
2021-10-06 16:00:00,2.314,2.455,2.3,2.356,442396.2,CVPUSDT
2021-10-06 20:00:00,2.352,2.352,2.255,2.285,278634.4,CVPUSDT
2021-10-07 00:00:00,2.285,2.287,2.215,2.231,213598.7,CVPUSDT
2021-10-07 04:00:00,2.228,2.257,2.181,2.226,559611.2,CVPUSDT
2021-10-07 08:00:00,2.221,2.315,2.21,2.233,489196.9,CVPUSDT
2021-10-07 12:00:00,2.231,2.3,2.19,2.226,352305.7,CVPUSDT
2021-10-07 16:00:00,2.223,2.266,2.186,2.193,356006.4,CVPUSDT
2021-10-07 20:00:00,2.191,2.238,2.186,2.193,179836.0,CVPUSDT
2021-10-08 00:00:00,2.197,2.22,2.164,2.184,125970.5,CVPUSDT
2021-10-08 04:00:00,2.186,2.36,2.132,2.211,705482.7,CVPUSDT
2021-10-08 08:00:00,2.213,2.23,2.17,2.179,247536.3,CVPUSDT
2021-10-08 12:00:00,2.179,2.255,2.14,2.17,660265.1,CVPUSDT
2021-10-08 16:00:00,2.17,2.199,2.15,2.174,179377.1,CVPUSDT
2021-10-08 20:00:00,2.167,2.219,2.136,2.145,198672.0,CVPUSDT
2021-10-09 00:00:00,2.146,2.244,2.14,2.204,175113.1,CVPUSDT
2021-10-09 04:00:00,2.205,2.25,2.176,2.183,229807.4,CVPUSDT
2021-10-09 08:00:00,2.189,2.21,2.15,2.158,209902.1,CVPUSDT
2021-10-09 12:00:00,2.158,2.2,2.15,2.163,277461.9,CVPUSDT
2021-10-09 16:00:00,2.163,2.182,2.103,2.123,365765.9,CVPUSDT
2021-10-09 20:00:00,2.122,2.131,2.103,2.117,106437.7,CVPUSDT
2021-10-10 00:00:00,2.117,2.119,2.05,2.075,121834.3,CVPUSDT
2021-10-10 04:00:00,2.08,2.127,2.074,2.094,117280.7,CVPUSDT
2021-10-10 08:00:00,2.094,2.164,2.086,2.156,371525.6,CVPUSDT
2021-10-10 12:00:00,2.15,2.185,2.115,2.14,248361.4,CVPUSDT
2021-10-10 16:00:00,2.14,2.3,2.133,2.149,1323186.3,CVPUSDT
2021-10-10 20:00:00,2.147,2.55,2.132,2.499,1721395.0,CVPUSDT
2021-10-11 00:00:00,2.486,2.6,2.208,2.242,1489505.0,CVPUSDT
2021-10-11 04:00:00,2.245,2.358,2.136,2.182,1001611.8,CVPUSDT
2021-10-11 08:00:00,2.178,2.202,2.12,2.168,501864.5,CVPUSDT
2021-10-11 12:00:00,2.169,2.18,2.097,2.113,319394.3,CVPUSDT
2021-10-11 16:00:00,2.11,2.12,2.096,2.1,151874.4,CVPUSDT
2021-10-11 20:00:00,2.097,2.11,2.061,2.11,120560.0,CVPUSDT
2021-10-12 00:00:00,2.108,2.109,2.025,2.026,120116.4,CVPUSDT
2021-10-12 04:00:00,2.026,2.064,2.001,2.022,219450.4,CVPUSDT
2021-10-12 08:00:00,2.028,2.09,1.894,1.934,370318.6,CVPUSDT
2021-10-12 12:00:00,1.934,2.048,1.93,1.986,242079.6,CVPUSDT
2021-10-12 16:00:00,1.989,2.012,1.959,1.959,92686.3,CVPUSDT
2021-10-12 20:00:00,1.959,1.998,1.959,1.97,87523.5,CVPUSDT
2021-10-13 00:00:00,1.976,2.016,1.966,2.009,115204.6,CVPUSDT
2021-10-13 04:00:00,2.009,2.028,1.96,1.972,145855.2,CVPUSDT
2021-10-13 08:00:00,1.969,2.02,1.958,1.992,221349.5,CVPUSDT
2021-10-13 12:00:00,1.992,2.01,1.966,1.999,161613.8,CVPUSDT
2021-10-13 16:00:00,2.0,2.03,1.91,1.975,331635.8,CVPUSDT
2021-10-13 20:00:00,1.971,2.011,1.951,2.002,132223.3,CVPUSDT
2021-10-14 00:00:00,2.0,2.05,1.955,1.997,155812.4,CVPUSDT
2021-10-14 04:00:00,1.995,2.02,1.978,1.993,151745.4,CVPUSDT
2021-10-14 08:00:00,1.994,2.052,1.993,2.015,243775.6,CVPUSDT
2021-10-14 12:00:00,2.015,2.089,2.009,2.03,295291.5,CVPUSDT
2021-10-14 16:00:00,2.03,2.086,2.013,2.021,192784.6,CVPUSDT
2021-10-14 20:00:00,2.021,2.088,2.009,2.044,133374.4,CVPUSDT
2021-10-15 00:00:00,2.044,2.044,1.98,2.02,88697.8,CVPUSDT
2021-10-15 04:00:00,2.02,2.03,1.989,2.0,181087.8,CVPUSDT
2021-10-15 08:00:00,2.005,2.009,1.903,1.951,396247.3,CVPUSDT
2021-10-15 12:00:00,1.951,1.951,1.929,1.935,150384.8,CVPUSDT
2021-10-15 16:00:00,1.937,2.04,1.934,1.961,283344.5,CVPUSDT
2021-10-15 20:00:00,1.956,1.973,1.942,1.956,104419.6,CVPUSDT
2021-10-16 00:00:00,1.951,1.989,1.94,1.959,109859.6,CVPUSDT
2021-10-16 04:00:00,1.956,1.97,1.929,1.949,149991.2,CVPUSDT
