Date,Open,High,Low,Close,Volume,Asset_name
2024-04-02 08:00:00,0.3,0.84,0.3,0.618,634287354.7,ENAUSDT
2024-04-02 12:00:00,0.618,0.778,0.593,0.689,402117606.64,ENAUSDT
2024-04-02 16:00:00,0.689,0.913,0.688,0.872,375967647.01,ENAUSDT
2024-04-02 20:00:00,0.872,0.878,0.752,0.775,138339303.41,ENAUSDT
2024-04-03 00:00:00,0.775,0.892,0.703,0.871,205056550.94,ENAUSDT
2024-04-03 04:00:00,0.871,0.925,0.785,0.919,127762721.37,ENAUSDT
2024-04-03 08:00:00,0.918,0.966,0.865,0.902,218985592.89,ENAUSDT
2024-04-03 12:00:00,0.902,1.22,0.854,1.201,336005655.55,ENAUSDT
2024-04-03 16:00:00,1.202,1.32,1.053,1.108,345756664.26,ENAUSDT
2024-04-03 20:00:00,1.108,1.157,1.045,1.134,105846133.27,ENAUSDT
2024-04-04 00:00:00,1.134,1.163,0.95,0.953,119148853.53,ENAUSDT
2024-04-04 04:00:00,0.952,1.073,0.907,1.003,134264754.39,ENAUSDT
2024-04-04 08:00:00,1.003,1.168,0.951,1.126,136142140.52,ENAUSDT
2024-04-04 12:00:00,1.126,1.158,1.03,1.036,109670856.18,ENAUSDT
2024-04-04 16:00:00,1.036,1.063,0.972,1.002,76416798.28,ENAUSDT
2024-04-04 20:00:00,1.002,1.007,0.926,0.97,71274218.29,ENAUSDT
2024-04-05 00:00:00,0.97,1.044,0.915,0.956,100559240.27,ENAUSDT
2024-04-05 04:00:00,0.956,1.0,0.878,0.906,70197093.65,ENAUSDT
2024-04-05 08:00:00,0.906,0.954,0.861,0.879,71746854.42,ENAUSDT
2024-04-05 12:00:00,0.879,0.995,0.868,0.965,106981185.84,ENAUSDT
2024-04-05 16:00:00,0.965,1.03,0.948,0.977,79020601.41,ENAUSDT
2024-04-05 20:00:00,0.977,1.069,0.977,1.018,73723751.39,ENAUSDT
2024-04-06 00:00:00,1.018,1.049,0.962,0.989,54901464.7,ENAUSDT
2024-04-06 04:00:00,0.989,1.156,0.97,1.129,101076732.75,ENAUSDT
2024-04-06 08:00:00,1.129,1.13,1.061,1.112,76528837.68,ENAUSDT
2024-04-06 12:00:00,1.111,1.194,1.063,1.152,101061969.75,ENAUSDT
2024-04-06 16:00:00,1.151,1.167,1.105,1.122,51001348.82,ENAUSDT
2024-04-06 20:00:00,1.122,1.139,1.085,1.089,30980209.33,ENAUSDT
2024-04-07 00:00:00,1.089,1.11,1.059,1.108,49633567.25,ENAUSDT
2024-04-07 04:00:00,1.107,1.248,1.097,1.21,108737115.33,ENAUSDT
2024-04-07 08:00:00,1.21,1.25,1.158,1.227,87467371.23,ENAUSDT
2024-04-07 12:00:00,1.228,1.271,1.168,1.259,83112990.83,ENAUSDT
2024-04-07 16:00:00,1.26,1.262,1.174,1.18,58390554.07,ENAUSDT
2024-04-07 20:00:00,1.181,1.205,1.16,1.19,29285652.53,ENAUSDT
2024-04-08 00:00:00,1.191,1.191,1.138,1.157,43246351.97,ENAUSDT
2024-04-08 04:00:00,1.158,1.189,1.116,1.119,42949029.04,ENAUSDT
2024-04-08 08:00:00,1.119,1.139,1.07,1.114,86768470.63,ENAUSDT
2024-04-08 12:00:00,1.114,1.36,1.113,1.244,266954439.66,ENAUSDT
2024-04-08 16:00:00,1.243,1.282,1.241,1.28,39923019.55,ENAUSDT
2024-04-08 20:00:00,1.28,1.325,1.27,1.293,46777325.12,ENAUSDT
2024-04-09 00:00:00,1.293,1.394,1.292,1.37,88987995.74,ENAUSDT
2024-04-09 04:00:00,1.371,1.405,1.289,1.291,100761246.3,ENAUSDT
2024-04-09 08:00:00,1.291,1.33,1.245,1.281,101584163.23,ENAUSDT
2024-04-09 12:00:00,1.282,1.282,1.205,1.249,69375761.97,ENAUSDT
2024-04-09 16:00:00,1.25,1.25,1.192,1.248,41961311.48,ENAUSDT
2024-04-09 20:00:00,1.248,1.25,1.203,1.241,26253937.97,ENAUSDT
2024-04-10 00:00:00,1.241,1.335,1.223,1.324,77907138.12,ENAUSDT
2024-04-10 04:00:00,1.325,1.418,1.323,1.381,96398193.83,ENAUSDT
2024-04-10 08:00:00,1.381,1.457,1.341,1.36,108734294.99,ENAUSDT
2024-04-10 12:00:00,1.36,1.45,1.302,1.441,131620307.59,ENAUSDT
2024-04-10 16:00:00,1.441,1.51,1.408,1.413,114049434.28,ENAUSDT
2024-04-10 20:00:00,1.414,1.474,1.393,1.461,43907361.24,ENAUSDT
2024-04-11 00:00:00,1.461,1.498,1.402,1.433,61892821.19,ENAUSDT
2024-04-11 04:00:00,1.433,1.463,1.379,1.405,48021714.26,ENAUSDT
2024-04-11 08:00:00,1.406,1.523,1.388,1.458,90475264.23,ENAUSDT
2024-04-11 12:00:00,1.458,1.519,1.41,1.433,80940122.37,ENAUSDT
2024-04-11 16:00:00,1.433,1.482,1.389,1.415,44785678.82,ENAUSDT
2024-04-11 20:00:00,1.416,1.424,1.35,1.372,31079926.82,ENAUSDT
2024-04-12 00:00:00,1.372,1.46,1.372,1.458,40807977.9,ENAUSDT
2024-04-12 04:00:00,1.457,1.484,1.442,1.459,38601714.02,ENAUSDT
2024-04-12 08:00:00,1.459,1.47,1.39,1.42,42466943.5,ENAUSDT
