Date,Open,High,Low,Close,Volume,Asset_name
2020-07-13 08:00:00,10.0,10.2,9.96,10.2,14913.65,ETHUPUSDT
2020-07-13 12:00:00,10.24,10.24,9.89,9.98,9404.77,ETHUPUSDT
2020-07-13 16:00:00,10.0,10.06,9.44,9.52,4229.04,ETHUPUSDT
2020-07-13 20:00:00,9.48,9.68,9.48,9.68,2284.74,ETHUPUSDT
2020-07-14 00:00:00,9.6,9.72,9.55,9.58,817.75,ETHUPUSDT
2020-07-14 04:00:00,9.57,9.57,9.38,9.52,1778.15,ETHUPUSDT
2020-07-14 08:00:00,9.52,9.75,9.5,9.69,1968.08,ETHUPUSDT
2020-07-14 12:00:00,9.75,9.8,9.54,9.73,1325.52,ETHUPUSDT
2020-07-14 16:00:00,9.66,9.83,9.65,9.81,2225.3,ETHUPUSDT
2020-07-14 20:00:00,9.82,9.88,9.7,9.73,4314.0,ETHUPUSDT
2020-07-15 00:00:00,9.8,9.8,9.65,9.72,277.52,ETHUPUSDT
2020-07-15 04:00:00,9.61,9.69,9.57,9.65,2278.57,ETHUPUSDT
2020-07-15 08:00:00,9.6,9.69,9.52,9.63,1211.22,ETHUPUSDT
2020-07-15 12:00:00,9.64,9.68,9.51,9.54,1015.35,ETHUPUSDT
2020-07-15 16:00:00,9.5,9.54,9.37,9.45,9037.75,ETHUPUSDT
2020-07-15 20:00:00,9.45,9.59,9.45,9.56,4671.29,ETHUPUSDT
2020-07-16 00:00:00,9.56,9.62,9.49,9.54,95.11,ETHUPUSDT
2020-07-16 04:00:00,9.51,9.55,8.65,8.87,16484.53,ETHUPUSDT
2020-07-16 08:00:00,8.92,8.96,8.68,8.8,13024.16,ETHUPUSDT
2020-07-16 12:00:00,8.83,8.96,8.83,8.93,13283.06,ETHUPUSDT
2020-07-16 16:00:00,8.93,9.08,8.88,8.88,1419.18,ETHUPUSDT
2020-07-16 20:00:00,8.88,9.04,8.84,9.04,4130.73,ETHUPUSDT
2020-07-17 00:00:00,8.98,9.05,8.91,8.93,2196.96,ETHUPUSDT
2020-07-17 04:00:00,8.94,9.01,8.84,8.97,4122.87,ETHUPUSDT
2020-07-17 08:00:00,8.98,9.01,8.84,8.84,6276.41,ETHUPUSDT
2020-07-17 12:00:00,8.97,9.08,8.91,8.95,4333.37,ETHUPUSDT
2020-07-17 16:00:00,8.99,8.99,8.91,8.93,191.51,ETHUPUSDT
2020-07-17 20:00:00,8.98,8.98,8.89,8.91,433.46,ETHUPUSDT
2020-07-18 00:00:00,8.9,8.94,8.87,8.94,964.75,ETHUPUSDT
2020-07-18 04:00:00,8.94,8.96,8.9,8.94,1713.71,ETHUPUSDT
2020-07-18 08:00:00,8.96,9.15,8.92,9.1,3083.37,ETHUPUSDT
2020-07-18 12:00:00,9.15,9.15,9.04,9.12,5835.95,ETHUPUSDT
2020-07-18 16:00:00,9.05,9.29,9.05,9.14,2263.14,ETHUPUSDT
2020-07-18 20:00:00,9.15,9.23,9.15,9.16,263.39,ETHUPUSDT
2020-07-19 00:00:00,9.18,9.21,9.1,9.13,420.03,ETHUPUSDT
2020-07-19 04:00:00,9.08,9.14,8.98,9.06,833.09,ETHUPUSDT
2020-07-19 08:00:00,9.09,9.09,8.96,9.02,2548.1,ETHUPUSDT
2020-07-19 12:00:00,8.99,9.03,8.99,9.0,410.65,ETHUPUSDT
2020-07-19 16:00:00,9.0,9.14,9.0,9.11,909.41,ETHUPUSDT
2020-07-19 20:00:00,9.14,9.57,9.14,9.54,4012.18,ETHUPUSDT
2020-07-20 00:00:00,9.52,9.57,9.42,9.49,1343.71,ETHUPUSDT
2020-07-20 04:00:00,9.46,9.51,9.4,9.46,8346.23,ETHUPUSDT
2020-07-20 08:00:00,9.47,9.54,9.33,9.37,1078.38,ETHUPUSDT
2020-07-20 12:00:00,9.4,9.43,9.32,9.4,1163.25,ETHUPUSDT
2020-07-20 16:00:00,9.39,9.48,9.06,9.1,3757.17,ETHUPUSDT
2020-07-20 20:00:00,9.16,9.26,9.16,9.2,190.37,ETHUPUSDT
2020-07-21 00:00:00,9.24,9.32,9.24,9.32,781.51,ETHUPUSDT
2020-07-21 04:00:00,9.32,9.84,9.32,9.75,3667.65,ETHUPUSDT
2020-07-21 08:00:00,9.77,9.95,9.7,9.89,14040.87,ETHUPUSDT
2020-07-21 12:00:00,9.92,10.11,9.88,9.94,12086.52,ETHUPUSDT
2020-07-21 16:00:00,9.94,10.32,9.91,10.12,7195.5,ETHUPUSDT
2020-07-21 20:00:00,10.14,10.2,9.99,10.19,3179.72,ETHUPUSDT
2020-07-22 00:00:00,10.15,10.15,9.91,10.01,2382.64,ETHUPUSDT
2020-07-22 04:00:00,9.99,10.06,9.74,9.81,8237.11,ETHUPUSDT
2020-07-22 08:00:00,9.84,10.0,9.8,9.99,648.56,ETHUPUSDT
2020-07-22 12:00:00,10.0,10.12,9.85,10.04,2985.79,ETHUPUSDT
2020-07-22 16:00:00,10.06,10.21,9.96,10.17,5675.64,ETHUPUSDT
2020-07-22 20:00:00,10.16,12.95,10.11,12.28,208999.45,ETHUPUSDT
2020-07-23 00:00:00,12.27,12.5,12.11,12.21,34561.95,ETHUPUSDT
2020-07-23 04:00:00,12.17,12.26,11.83,12.1,9183.91,ETHUPUSDT
