Date,Open,High,Low,Close,Volume,Asset_name
2024-08-28 08:00:00,1.12,1.2005,1.1103,1.1103,3748369.6,EURIUSDT
2024-08-28 12:00:00,1.1104,1.1124,1.1083,1.111,809773.8,EURIUSDT
2024-08-28 16:00:00,1.1109,1.1111,1.1085,1.1094,359099.5,EURIUSDT
2024-08-28 20:00:00,1.1094,1.1118,1.1093,1.1107,138352.1,EURIUSDT
2024-08-29 00:00:00,1.1107,1.1125,1.1103,1.1117,159197.6,EURIUSDT
2024-08-29 04:00:00,1.1117,1.1123,1.1107,1.1117,478488.4,EURIUSDT
2024-08-29 08:00:00,1.1117,1.1117,1.1058,1.1087,2284096.8,EURIUSDT
2024-08-29 12:00:00,1.1087,1.1088,1.1044,1.1071,1497589.5,EURIUSDT
2024-08-29 16:00:00,1.1071,1.1078,1.1062,1.1063,1520521.9,EURIUSDT
2024-08-29 20:00:00,1.1063,1.1076,1.1063,1.1068,516679.0,EURIUSDT
2024-08-30 00:00:00,1.1067,1.1073,1.1057,1.1065,1004565.7,EURIUSDT
2024-08-30 04:00:00,1.1064,1.109,1.106,1.1076,1440339.1,EURIUSDT
2024-08-30 08:00:00,1.1075,1.1093,1.1065,1.1073,3635468.0,EURIUSDT
2024-08-30 12:00:00,1.1073,1.108,1.1047,1.1055,4516003.5,EURIUSDT
2024-08-30 16:00:00,1.1055,1.1061,1.1037,1.1046,1871908.0,EURIUSDT
2024-08-30 20:00:00,1.1046,1.1048,1.1038,1.1042,224292.9,EURIUSDT
2024-08-31 00:00:00,1.1042,1.1046,1.1039,1.1045,65839.2,EURIUSDT
2024-08-31 04:00:00,1.1044,1.1058,1.1039,1.1051,483822.9,EURIUSDT
2024-08-31 08:00:00,1.1053,1.1064,1.1042,1.105,468515.2,EURIUSDT
2024-08-31 12:00:00,1.1049,1.1057,1.1044,1.1051,793355.1,EURIUSDT
2024-08-31 16:00:00,1.1053,1.1063,1.1042,1.1051,1209615.6,EURIUSDT
2024-08-31 20:00:00,1.105,1.1058,1.1046,1.1055,285377.5,EURIUSDT
2024-09-01 00:00:00,1.1056,1.1056,1.1043,1.1054,77065.6,EURIUSDT
2024-09-01 04:00:00,1.1055,1.1056,1.0989,1.1026,818614.6,EURIUSDT
2024-09-01 08:00:00,1.1026,1.1048,1.1025,1.1038,247113.8,EURIUSDT
2024-09-01 12:00:00,1.1037,1.1039,1.103,1.1036,184675.9,EURIUSDT
2024-09-01 16:00:00,1.1036,1.1053,1.1029,1.1029,273949.7,EURIUSDT
2024-09-01 20:00:00,1.1029,1.1042,1.1029,1.1034,115193.5,EURIUSDT
2024-09-02 00:00:00,1.1034,1.1041,1.1031,1.1039,68469.6,EURIUSDT
2024-09-02 04:00:00,1.104,1.106,1.1037,1.1058,831355.4,EURIUSDT
2024-09-02 08:00:00,1.1058,1.1068,1.1052,1.1055,2868607.2,EURIUSDT
2024-09-02 12:00:00,1.1055,1.1068,1.1052,1.1058,2021165.7,EURIUSDT
2024-09-02 16:00:00,1.1058,1.1078,1.1055,1.1066,785690.8,EURIUSDT
2024-09-02 20:00:00,1.1065,1.1068,1.1058,1.1061,891074.9,EURIUSDT
2024-09-03 00:00:00,1.106,1.1064,1.1048,1.1057,877744.1,EURIUSDT
2024-09-03 04:00:00,1.1057,1.1062,1.105,1.105,3127007.8,EURIUSDT
2024-09-03 08:00:00,1.105,1.1053,1.1025,1.103,21613984.7,EURIUSDT
2024-09-03 12:00:00,1.1029,1.1063,1.1026,1.1041,21907623.8,EURIUSDT
2024-09-03 16:00:00,1.104,1.1047,1.1024,1.1039,4328763.2,EURIUSDT
2024-09-03 20:00:00,1.104,1.1049,1.1038,1.1046,2929629.5,EURIUSDT
2024-09-04 00:00:00,1.1046,1.1051,1.1044,1.1049,2993792.7,EURIUSDT
2024-09-04 04:00:00,1.1049,1.1057,1.1041,1.105,8153298.9,EURIUSDT
2024-09-04 08:00:00,1.105,1.1053,1.1039,1.1048,35324284.9,EURIUSDT
2024-09-04 12:00:00,1.1047,1.11,1.1036,1.1069,30271662.3,EURIUSDT
2024-09-04 16:00:00,1.1069,1.1088,1.1055,1.1074,3825956.9,EURIUSDT
2024-09-04 20:00:00,1.1074,1.1081,1.1072,1.1073,1166599.3,EURIUSDT
2024-09-05 00:00:00,1.1073,1.1079,1.1067,1.1074,955159.2,EURIUSDT
2024-09-05 04:00:00,1.1073,1.1086,1.1069,1.1081,2942940.2,EURIUSDT
2024-09-05 08:00:00,1.1082,1.1106,1.1078,1.1094,3686949.1,EURIUSDT
2024-09-05 12:00:00,1.1096,1.1117,1.1072,1.1091,59357316.5,EURIUSDT
2024-09-05 16:00:00,1.1091,1.1114,1.1091,1.1099,20744008.4,EURIUSDT
2024-09-05 20:00:00,1.1099,1.1117,1.1096,1.111,3378521.6,EURIUSDT
2024-09-06 00:00:00,1.1109,1.1118,1.1105,1.1115,910440.5,EURIUSDT
2024-09-06 04:00:00,1.1115,1.1125,1.1107,1.1113,6074806.3,EURIUSDT
2024-09-06 08:00:00,1.1114,1.1143,1.1093,1.1109,10755300.2,EURIUSDT
2024-09-06 12:00:00,1.1109,1.1159,1.1063,1.1086,100581827.4,EURIUSDT
2024-09-06 16:00:00,1.1087,1.1087,1.1063,1.1082,7816688.8,EURIUSDT
2024-09-06 20:00:00,1.1082,1.1083,1.103,1.1035,540697.2,EURIUSDT
2024-09-07 00:00:00,1.1036,1.105,1.1036,1.1047,312637.5,EURIUSDT
2024-09-07 04:00:00,1.1047,1.1056,1.1047,1.105,550125.4,EURIUSDT
2024-09-07 08:00:00,1.105,1.106,1.105,1.1055,206423.4,EURIUSDT
2024-09-07 12:00:00,1.1055,1.1072,1.1053,1.1058,188729.2,EURIUSDT
