Date,Open,High,Low,Close,Volume,Asset_name
2021-12-10 04:00:00,1.22,5.0,1.22,3.31,14923698.48,FLUXUSDT
2021-12-10 08:00:00,3.304,3.93,2.252,2.372,16954330.53,FLUXUSDT
2021-12-10 12:00:00,2.372,2.473,1.851,1.909,12983382.74,FLUXUSDT
2021-12-10 16:00:00,1.909,2.07,1.77,2.063,11141514.76,FLUXUSDT
2021-12-10 20:00:00,2.063,2.244,1.802,1.826,9290770.77,FLUXUSDT
2021-12-11 00:00:00,1.823,2.092,1.772,1.981,4886331.51,FLUXUSDT
2021-12-11 04:00:00,1.981,2.03,1.787,1.814,3237261.89,FLUXUSDT
2021-12-11 08:00:00,1.813,1.99,1.788,1.869,2787928.64,FLUXUSDT
2021-12-11 12:00:00,1.87,1.989,1.853,1.956,2159842.99,FLUXUSDT
2021-12-11 16:00:00,1.956,2.177,1.89,1.921,3883154.29,FLUXUSDT
2021-12-11 20:00:00,1.922,1.962,1.848,1.879,1426065.75,FLUXUSDT
2021-12-12 00:00:00,1.879,1.997,1.855,1.86,1024575.88,FLUXUSDT
2021-12-12 04:00:00,1.86,1.899,1.806,1.854,1146347.77,FLUXUSDT
2021-12-12 08:00:00,1.852,1.857,1.791,1.813,771691.33,FLUXUSDT
2021-12-12 12:00:00,1.813,1.88,1.8,1.825,843435.94,FLUXUSDT
2021-12-12 16:00:00,1.825,1.877,1.801,1.846,1245267.61,FLUXUSDT
2021-12-12 20:00:00,1.847,1.873,1.82,1.85,465194.13,FLUXUSDT
2021-12-13 00:00:00,1.848,1.884,1.65,1.672,1340275.97,FLUXUSDT
2021-12-13 04:00:00,1.673,1.688,1.591,1.615,868152.39,FLUXUSDT
2021-12-13 08:00:00,1.615,1.697,1.54,1.597,1062337.34,FLUXUSDT
2021-12-13 12:00:00,1.596,1.63,1.386,1.42,1535540.57,FLUXUSDT
2021-12-13 16:00:00,1.42,1.608,1.347,1.491,2447598.51,FLUXUSDT
2021-12-13 20:00:00,1.491,1.562,1.403,1.417,1383086.84,FLUXUSDT
