Date,Open,High,Low,Close,Volume,Asset_name
2021-08-20 08:00:00,1.982,2.4,1.982,2.183,2889171.9,GHSTUSDT
2021-08-20 12:00:00,2.184,2.245,2.135,2.154,732763.1,GHSTUSDT
2021-08-20 16:00:00,2.162,2.21,2.12,2.163,331974.7,GHSTUSDT
2021-08-20 20:00:00,2.163,2.205,2.126,2.15,170135.8,GHSTUSDT
2021-08-21 00:00:00,2.15,2.205,2.137,2.161,186508.7,GHSTUSDT
2021-08-21 04:00:00,2.161,2.2,2.138,2.153,257192.5,GHSTUSDT
2021-08-21 08:00:00,2.153,2.168,2.118,2.124,303207.3,GHSTUSDT
2021-08-21 12:00:00,2.124,2.17,2.093,2.123,331399.3,GHSTUSDT
2021-08-21 16:00:00,2.116,2.165,2.091,2.115,243843.4,GHSTUSDT
2021-08-21 20:00:00,2.115,2.139,2.079,2.096,153304.1,GHSTUSDT
2021-08-22 00:00:00,2.097,2.139,2.069,2.09,142567.0,GHSTUSDT
2021-08-22 04:00:00,2.088,2.102,2.052,2.077,147216.8,GHSTUSDT
2021-08-22 08:00:00,2.074,2.14,2.012,2.082,231256.1,GHSTUSDT
2021-08-22 12:00:00,2.082,2.1,2.0,2.06,282229.9,GHSTUSDT
2021-08-22 16:00:00,2.066,2.139,2.032,2.062,143644.8,GHSTUSDT
2021-08-22 20:00:00,2.063,2.093,2.032,2.084,66915.9,GHSTUSDT
2021-08-23 00:00:00,2.075,2.135,2.066,2.09,164541.1,GHSTUSDT
2021-08-23 04:00:00,2.09,2.198,2.081,2.109,417973.9,GHSTUSDT
2021-08-23 08:00:00,2.109,2.185,2.088,2.113,275038.3,GHSTUSDT
2021-08-23 12:00:00,2.114,2.119,2.05,2.086,348486.6,GHSTUSDT
2021-08-23 16:00:00,2.088,2.111,2.061,2.088,141591.6,GHSTUSDT
2021-08-23 20:00:00,2.086,2.177,2.061,2.093,242394.4,GHSTUSDT
2021-08-24 00:00:00,2.091,2.103,2.056,2.079,130395.4,GHSTUSDT
2021-08-24 04:00:00,2.078,2.088,2.043,2.081,123369.0,GHSTUSDT
2021-08-24 08:00:00,2.084,2.085,2.041,2.043,115657.7,GHSTUSDT
2021-08-24 12:00:00,2.043,2.05,2.003,2.011,134658.3,GHSTUSDT
2021-08-24 16:00:00,2.011,2.067,2.002,2.032,203419.0,GHSTUSDT
2021-08-24 20:00:00,2.033,2.06,2.0,2.015,132588.7,GHSTUSDT
2021-08-25 00:00:00,2.015,2.053,1.962,1.995,99659.2,GHSTUSDT
2021-08-25 04:00:00,1.994,2.014,1.97,1.983,120365.9,GHSTUSDT
2021-08-25 08:00:00,1.982,2.022,1.955,2.001,368493.4,GHSTUSDT
2021-08-25 12:00:00,1.998,2.084,1.974,2.043,333490.2,GHSTUSDT
2021-08-25 16:00:00,2.04,2.043,1.98,1.996,260337.7,GHSTUSDT
2021-08-25 20:00:00,1.991,2.045,1.969,2.003,202168.1,GHSTUSDT
2021-08-26 00:00:00,2.0,2.087,1.966,1.993,325821.2,GHSTUSDT
2021-08-26 04:00:00,1.993,2.079,1.975,2.002,386143.0,GHSTUSDT
2021-08-26 08:00:00,2.002,2.081,1.996,2.033,244760.1,GHSTUSDT
2021-08-26 12:00:00,2.033,2.199,1.992,2.1,794008.5,GHSTUSDT
2021-08-26 16:00:00,2.1,2.324,2.071,2.184,1399281.2,GHSTUSDT
2021-08-26 20:00:00,2.185,2.262,2.08,2.082,1612056.6,GHSTUSDT
2021-08-27 00:00:00,2.082,2.15,2.064,2.07,492928.7,GHSTUSDT
2021-08-27 04:00:00,2.079,2.105,2.053,2.057,351299.6,GHSTUSDT
2021-08-27 08:00:00,2.066,2.075,2.015,2.055,274921.8,GHSTUSDT
2021-08-27 12:00:00,2.055,2.095,1.998,2.055,521987.2,GHSTUSDT
2021-08-27 16:00:00,2.041,2.095,2.022,2.053,247602.2,GHSTUSDT
2021-08-27 20:00:00,2.052,2.08,2.033,2.057,163094.2,GHSTUSDT
