Date,Open,High,Low,Close,Volume,Asset_name
2023-02-17 08:00:00,6.032,13.88,6.032,10.501,2831161.15,GNSUSDT
2023-02-17 12:00:00,10.5,11.45,9.579,10.08,3294750.76,GNSUSDT
2023-02-17 16:00:00,10.095,11.57,9.91,10.34,2986354.3,GNSUSDT
2023-02-17 20:00:00,10.339,10.688,9.8,10.279,783820.45,GNSUSDT
2023-02-18 00:00:00,10.275,11.9,10.0,11.693,1740029.6,GNSUSDT
2023-02-18 04:00:00,11.693,11.98,10.782,11.619,1223338.74,GNSUSDT
2023-02-18 08:00:00,11.619,11.62,10.274,10.45,1078705.41,GNSUSDT
2023-02-18 12:00:00,10.455,10.79,10.268,10.687,650091.1,GNSUSDT
2023-02-18 16:00:00,10.686,10.769,10.331,10.362,328162.96,GNSUSDT
2023-02-18 20:00:00,10.368,10.495,10.1,10.339,222792.81,GNSUSDT
2023-02-19 00:00:00,10.34,10.7,10.181,10.423,263547.7,GNSUSDT
2023-02-19 04:00:00,10.454,10.545,10.03,10.064,296980.9,GNSUSDT
2023-02-19 08:00:00,10.064,10.253,9.118,9.293,850110.3,GNSUSDT
2023-02-19 12:00:00,9.288,9.9,8.912,9.651,928379.27,GNSUSDT
2023-02-19 16:00:00,9.65,9.842,9.155,9.31,428122.0,GNSUSDT
2023-02-19 20:00:00,9.311,9.326,8.839,9.01,285155.64,GNSUSDT
2023-02-20 00:00:00,8.996,9.414,8.676,9.31,379413.2,GNSUSDT
2023-02-20 04:00:00,9.285,9.6,9.062,9.232,307126.34,GNSUSDT
2023-02-20 08:00:00,9.234,9.296,8.931,8.999,255798.79,GNSUSDT
2023-02-20 12:00:00,8.999,9.186,8.811,8.819,304912.35,GNSUSDT
2023-02-20 16:00:00,8.854,9.022,8.535,8.842,352563.84,GNSUSDT
2023-02-20 20:00:00,8.858,9.4,8.768,9.29,180444.35,GNSUSDT
2023-02-21 00:00:00,9.291,10.114,9.106,9.386,570597.17,GNSUSDT
2023-02-21 04:00:00,9.388,9.446,8.77,9.0,430950.77,GNSUSDT
2023-02-21 08:00:00,8.997,8.999,8.61,8.61,302075.52,GNSUSDT
2023-02-21 12:00:00,8.615,8.827,8.581,8.774,224224.98,GNSUSDT
2023-02-21 16:00:00,8.775,9.373,8.64,9.107,356793.65,GNSUSDT
2023-02-21 20:00:00,9.102,9.299,8.76,8.898,192604.59,GNSUSDT
2023-02-22 00:00:00,8.9,8.999,8.671,8.846,117513.34,GNSUSDT
2023-02-22 04:00:00,8.846,8.868,8.322,8.393,255302.61,GNSUSDT
2023-02-22 08:00:00,8.393,8.395,8.0,8.331,332854.86,GNSUSDT
