Date,Open,High,Low,Close,Volume,Asset_name
2024-06-11 12:00:00,0.06,5.88,0.06,3.706,68965148.77,IOUSDT
2024-06-11 16:00:00,3.707,4.508,3.513,4.301,27933525.06,IOUSDT
2024-06-11 20:00:00,4.3,4.364,3.883,4.169,16886256.47,IOUSDT
2024-06-12 00:00:00,4.169,4.243,3.529,3.809,14054199.01,IOUSDT
2024-06-12 04:00:00,3.809,4.2,3.756,4.034,11392516.68,IOUSDT
2024-06-12 08:00:00,4.034,4.745,3.974,4.661,16519835.72,IOUSDT
2024-06-12 12:00:00,4.662,6.0,4.52,5.565,48776230.65,IOUSDT
2024-06-12 16:00:00,5.564,5.95,5.367,5.823,21610834.13,IOUSDT
2024-06-12 20:00:00,5.822,6.5,5.236,5.682,23123898.7,IOUSDT
2024-06-13 00:00:00,5.682,6.222,5.364,5.666,18579608.38,IOUSDT
2024-06-13 04:00:00,5.66,6.4,5.634,6.196,14157442.29,IOUSDT
2024-06-13 08:00:00,6.196,6.196,5.281,5.463,19825040.85,IOUSDT
2024-06-13 12:00:00,5.463,5.688,4.67,4.763,24221110.56,IOUSDT
2024-06-13 16:00:00,4.763,4.979,4.66,4.724,10862917.48,IOUSDT
2024-06-13 20:00:00,4.725,5.064,4.643,4.955,6405884.24,IOUSDT
2024-06-14 00:00:00,4.952,4.968,4.444,4.79,9450434.71,IOUSDT
2024-06-14 04:00:00,4.789,5.457,4.77,5.215,13442642.55,IOUSDT
2024-06-14 08:00:00,5.214,5.393,4.853,5.086,10773981.23,IOUSDT
2024-06-14 12:00:00,5.087,5.336,5.019,5.132,10641338.66,IOUSDT
2024-06-14 16:00:00,5.133,5.216,4.823,4.948,9319268.9,IOUSDT
2024-06-14 20:00:00,4.947,5.309,4.943,5.128,5634459.73,IOUSDT
2024-06-15 00:00:00,5.128,5.573,5.061,5.213,9791621.04,IOUSDT
2024-06-15 04:00:00,5.213,5.26,4.909,5.055,5860221.99,IOUSDT
2024-06-15 08:00:00,5.055,5.298,4.999,5.188,4512477.2,IOUSDT
2024-06-15 12:00:00,5.186,5.498,5.185,5.277,8410890.6,IOUSDT
2024-06-15 16:00:00,5.276,5.466,5.1,5.151,3863844.01,IOUSDT
2024-06-15 20:00:00,5.152,5.286,5.111,5.268,2028665.79,IOUSDT
2024-06-16 00:00:00,5.268,5.52,5.214,5.45,4986385.81,IOUSDT
2024-06-16 04:00:00,5.45,5.841,5.21,5.517,9706080.4,IOUSDT
2024-06-16 08:00:00,5.517,5.74,5.452,5.555,6140877.5,IOUSDT
2024-06-16 12:00:00,5.555,5.616,5.37,5.447,5302947.06,IOUSDT
2024-06-16 16:00:00,5.447,5.487,5.28,5.461,3653304.7,IOUSDT
2024-06-16 20:00:00,5.461,5.493,5.307,5.33,2395606.26,IOUSDT
2024-06-17 00:00:00,5.33,5.395,4.85,4.877,8335451.44,IOUSDT
2024-06-17 04:00:00,4.878,4.907,4.684,4.74,6066640.47,IOUSDT
2024-06-17 08:00:00,4.741,4.775,4.475,4.52,10169996.62,IOUSDT
2024-06-17 12:00:00,4.519,4.56,4.361,4.425,7611410.92,IOUSDT
2024-06-17 16:00:00,4.424,4.484,4.227,4.357,5617996.54,IOUSDT
2024-06-17 20:00:00,4.357,4.36,4.182,4.258,3786912.11,IOUSDT
2024-06-18 00:00:00,4.257,4.295,3.59,4.021,14089518.77,IOUSDT
2024-06-18 04:00:00,4.022,4.076,3.883,3.894,4318986.32,IOUSDT
2024-06-18 08:00:00,3.895,3.991,3.783,3.939,5417334.72,IOUSDT
2024-06-18 12:00:00,3.94,3.98,3.738,3.797,6333786.81,IOUSDT
2024-06-18 16:00:00,3.797,3.845,3.675,3.782,3989640.29,IOUSDT
2024-06-18 20:00:00,3.782,3.873,3.692,3.813,3415089.28,IOUSDT
2024-06-19 00:00:00,3.813,4.116,3.694,3.909,8445628.91,IOUSDT
2024-06-19 04:00:00,3.909,4.059,3.889,3.935,5314985.56,IOUSDT
2024-06-19 08:00:00,3.934,3.94,3.738,3.808,4564533.66,IOUSDT
2024-06-19 12:00:00,3.808,3.97,3.799,3.866,4434334.15,IOUSDT
2024-06-19 16:00:00,3.864,3.98,3.84,3.902,2630416.32,IOUSDT
2024-06-19 20:00:00,3.902,3.95,3.783,3.84,1716348.61,IOUSDT
2024-06-20 00:00:00,3.84,3.992,3.788,3.952,3574715.03,IOUSDT
2024-06-20 04:00:00,3.952,4.242,3.873,4.242,6431552.98,IOUSDT
2024-06-20 08:00:00,4.241,4.356,4.082,4.158,9517735.37,IOUSDT
2024-06-20 12:00:00,4.159,4.163,3.93,3.997,7406440.96,IOUSDT
2024-06-20 16:00:00,3.998,4.128,3.877,4.084,3016501.14,IOUSDT
2024-06-20 20:00:00,4.085,4.13,3.985,3.989,1460942.31,IOUSDT
2024-06-21 00:00:00,3.989,4.154,3.901,4.014,3466571.83,IOUSDT
2024-06-21 04:00:00,4.014,4.064,3.756,3.778,4481139.3,IOUSDT
2024-06-21 08:00:00,3.778,3.812,3.681,3.726,3887834.19,IOUSDT
2024-06-21 12:00:00,3.727,3.79,3.6,3.748,4879115.61,IOUSDT
2024-06-21 16:00:00,3.748,3.847,3.673,3.758,2196184.61,IOUSDT
2024-06-21 20:00:00,3.76,3.799,3.696,3.705,964372.05,IOUSDT
2024-06-22 00:00:00,3.706,3.75,3.558,3.744,2522791.15,IOUSDT
2024-06-22 04:00:00,3.744,3.777,3.695,3.731,1443957.08,IOUSDT
2024-06-22 08:00:00,3.733,3.814,3.698,3.766,1980512.93,IOUSDT
2024-06-22 12:00:00,3.764,3.856,3.701,3.83,1927749.17,IOUSDT
2024-06-22 16:00:00,3.829,3.855,3.749,3.763,1220895.06,IOUSDT
2024-06-22 20:00:00,3.764,3.769,3.705,3.714,868033.16,IOUSDT
2024-06-23 00:00:00,3.714,3.8,3.665,3.782,2249868.26,IOUSDT
2024-06-23 04:00:00,3.783,3.804,3.685,3.705,1421974.72,IOUSDT
2024-06-23 08:00:00,3.704,3.769,3.475,3.554,3084269.0,IOUSDT
2024-06-23 12:00:00,3.553,3.598,3.45,3.463,2276130.94,IOUSDT
2024-06-23 16:00:00,3.463,3.494,3.41,3.446,1582998.34,IOUSDT
2024-06-23 20:00:00,3.448,3.451,3.3,3.388,1770917.87,IOUSDT
2024-06-24 00:00:00,3.388,3.411,3.202,3.249,2518921.93,IOUSDT
2024-06-24 04:00:00,3.248,3.314,3.153,3.202,3014144.03,IOUSDT
2024-06-24 08:00:00,3.203,3.287,3.07,3.254,3776325.46,IOUSDT
2024-06-24 12:00:00,3.254,3.319,3.203,3.236,2189090.0,IOUSDT
2024-06-24 16:00:00,3.236,3.301,3.21,3.223,1862986.8,IOUSDT
2024-06-24 20:00:00,3.223,3.357,3.162,3.319,2740426.66,IOUSDT
2024-06-25 00:00:00,3.32,3.432,3.266,3.351,3159751.48,IOUSDT
2024-06-25 04:00:00,3.352,3.414,3.271,3.3,2286946.2,IOUSDT
2024-06-25 08:00:00,3.302,3.34,3.259,3.318,1976573.03,IOUSDT
2024-06-25 12:00:00,3.315,3.62,3.312,3.56,4435812.37,IOUSDT
2024-06-25 16:00:00,3.561,3.583,3.486,3.575,1544421.16,IOUSDT
2024-06-25 20:00:00,3.575,3.734,3.557,3.564,2014795.11,IOUSDT
2024-06-26 00:00:00,3.564,3.641,3.483,3.53,2082415.62,IOUSDT
2024-06-26 04:00:00,3.529,3.558,3.428,3.542,1515282.68,IOUSDT
2024-06-26 08:00:00,3.543,3.615,3.464,3.611,1675189.96,IOUSDT
2024-06-26 12:00:00,3.61,3.679,3.545,3.644,3352304.1,IOUSDT
2024-06-26 16:00:00,3.644,3.644,3.473,3.586,2265239.36,IOUSDT
2024-06-26 20:00:00,3.583,3.627,3.477,3.503,1357785.45,IOUSDT
2024-06-27 00:00:00,3.502,3.536,3.462,3.493,1184526.39,IOUSDT
2024-06-27 04:00:00,3.492,3.529,3.422,3.455,1297769.48,IOUSDT
2024-06-27 08:00:00,3.455,3.51,3.429,3.441,1629102.51,IOUSDT
2024-06-27 12:00:00,3.44,3.715,3.382,3.685,6276787.0,IOUSDT
2024-06-27 16:00:00,3.686,3.71,3.6,3.673,1313462.74,IOUSDT
2024-06-27 20:00:00,3.673,3.688,3.619,3.636,708606.21,IOUSDT
2024-06-28 00:00:00,3.636,3.845,3.582,3.599,3029459.21,IOUSDT
2024-06-28 04:00:00,3.598,3.599,3.456,3.47,2599291.77,IOUSDT
2024-06-28 08:00:00,3.469,3.482,3.4,3.403,1756104.31,IOUSDT
2024-06-28 12:00:00,3.402,3.449,3.284,3.345,3045795.47,IOUSDT
2024-06-28 16:00:00,3.344,3.358,3.255,3.296,1558948.53,IOUSDT
2024-06-28 20:00:00,3.297,3.307,3.211,3.219,660155.48,IOUSDT
2024-06-29 00:00:00,3.218,3.307,3.186,3.291,1558144.65,IOUSDT
2024-06-29 04:00:00,3.291,3.352,3.254,3.331,843776.45,IOUSDT
2024-06-29 08:00:00,3.331,3.359,3.302,3.319,823899.57,IOUSDT
2024-06-29 12:00:00,3.318,3.339,3.236,3.271,1156421.87,IOUSDT
2024-06-29 16:00:00,3.272,3.278,3.16,3.197,891101.8,IOUSDT
2024-06-29 20:00:00,3.195,3.2,3.134,3.149,739853.34,IOUSDT
2024-06-30 00:00:00,3.148,3.181,3.1,3.163,1086776.9,IOUSDT
2024-06-30 04:00:00,3.164,3.266,3.128,3.237,1148666.14,IOUSDT
2024-06-30 08:00:00,3.237,3.33,3.229,3.273,1272143.81,IOUSDT
2024-06-30 12:00:00,3.273,3.365,3.264,3.317,1733166.21,IOUSDT
2024-06-30 16:00:00,3.316,3.336,3.274,3.302,857659.8,IOUSDT
2024-06-30 20:00:00,3.302,3.421,3.272,3.355,1624419.09,IOUSDT
2024-07-01 00:00:00,3.355,3.39,3.245,3.277,1727165.49,IOUSDT
