Date,Open,High,Low,Close,Volume,Asset_name
2021-08-19 08:00:00,1.969,5.87,1.969,4.832,60492789.6,MBOXUSDT
2021-08-19 12:00:00,4.831,5.042,4.134,4.504,19354163.4,MBOXUSDT
2021-08-19 16:00:00,4.505,5.15,4.41,4.541,12459592.1,MBOXUSDT
2021-08-19 20:00:00,4.545,4.98,4.212,4.674,6834429.7,MBOXUSDT
2021-08-20 00:00:00,4.675,5.33,4.477,4.961,9304123.6,MBOXUSDT
2021-08-20 04:00:00,4.962,4.985,4.386,4.601,6201107.3,MBOXUSDT
2021-08-20 08:00:00,4.6,4.631,4.24,4.41,4164130.4,MBOXUSDT
2021-08-20 12:00:00,4.411,4.509,4.24,4.35,2592856.5,MBOXUSDT
2021-08-20 16:00:00,4.349,4.49,4.3,4.332,1286395.0,MBOXUSDT
2021-08-20 20:00:00,4.328,4.5,4.277,4.345,1204462.5,MBOXUSDT
2021-08-21 00:00:00,4.345,4.379,4.03,4.071,1844840.8,MBOXUSDT
2021-08-21 04:00:00,4.071,4.228,3.9,4.109,2469416.8,MBOXUSDT
2021-08-21 08:00:00,4.104,4.132,3.885,3.9,1535665.6,MBOXUSDT
2021-08-21 12:00:00,3.9,4.022,3.839,3.915,1167243.3,MBOXUSDT
2021-08-21 16:00:00,3.917,3.984,3.754,3.779,897484.6,MBOXUSDT
2021-08-21 20:00:00,3.774,4.08,3.77,3.852,1151982.7,MBOXUSDT
2021-08-22 00:00:00,3.852,4.259,3.778,4.09,1963161.5,MBOXUSDT
2021-08-22 04:00:00,4.09,4.8,4.001,4.35,5978589.0,MBOXUSDT
2021-08-22 08:00:00,4.354,4.371,4.161,4.238,2296965.0,MBOXUSDT
2021-08-22 12:00:00,4.238,4.345,4.005,4.139,1808242.3,MBOXUSDT
2021-08-22 16:00:00,4.139,4.276,4.071,4.191,1124182.4,MBOXUSDT
2021-08-22 20:00:00,4.185,4.396,4.081,4.35,842056.5,MBOXUSDT
