Date,Open,High,Low,Close,Volume,Asset_name
2022-04-29 08:00:00,3.55,9.0,3.55,6.276,14736172.17,MOBUSDT
2022-04-29 12:00:00,6.27,6.45,4.7,5.119,7410899.65,MOBUSDT
2022-04-29 16:00:00,5.119,5.45,4.787,4.891,2676682.17,MOBUSDT
2022-04-29 20:00:00,4.893,4.931,4.02,4.436,1974057.87,MOBUSDT
2022-04-30 00:00:00,4.429,5.25,4.235,5.038,2786590.36,MOBUSDT
2022-04-30 04:00:00,5.033,5.385,4.44,5.199,3699052.6,MOBUSDT
2022-04-30 08:00:00,5.191,6.128,5.001,5.149,10090941.82,MOBUSDT
2022-04-30 12:00:00,5.143,5.42,4.745,4.996,2192815.92,MOBUSDT
2022-04-30 16:00:00,4.989,5.164,4.417,4.615,1071768.98,MOBUSDT
2022-04-30 20:00:00,4.616,4.849,4.322,4.44,1261743.53,MOBUSDT
2022-05-01 00:00:00,4.44,4.539,4.112,4.14,963417.82,MOBUSDT
2022-05-01 04:00:00,4.14,4.171,3.826,4.017,708082.64,MOBUSDT
2022-05-01 08:00:00,4.017,4.206,3.936,4.03,571093.33,MOBUSDT
2022-05-01 12:00:00,4.029,4.043,3.831,3.946,540626.55,MOBUSDT
2022-05-01 16:00:00,3.944,4.119,3.803,3.879,497091.83,MOBUSDT
2022-05-01 20:00:00,3.881,4.352,3.842,4.063,758654.12,MOBUSDT
2022-05-02 00:00:00,4.063,4.198,3.962,4.063,281702.48,MOBUSDT
2022-05-02 04:00:00,4.069,4.228,4.013,4.013,458438.66,MOBUSDT
2022-05-02 08:00:00,4.011,4.016,3.686,3.71,595971.98,MOBUSDT
2022-05-02 12:00:00,3.707,3.781,3.642,3.687,376730.35,MOBUSDT
2022-05-02 16:00:00,3.687,3.7,3.5,3.627,366490.92,MOBUSDT
2022-05-02 20:00:00,3.627,3.721,3.552,3.662,251566.08,MOBUSDT
2022-05-03 00:00:00,3.662,3.754,3.565,3.632,301702.51,MOBUSDT
2022-05-03 04:00:00,3.632,3.805,3.632,3.663,204183.57,MOBUSDT
2022-05-03 08:00:00,3.659,3.76,3.652,3.73,232422.02,MOBUSDT
2022-05-03 12:00:00,3.723,3.985,3.642,3.667,830960.63,MOBUSDT
2022-05-03 16:00:00,3.666,3.672,3.524,3.544,203502.97,MOBUSDT
2022-05-03 20:00:00,3.544,3.565,3.395,3.405,185835.72,MOBUSDT
2022-05-04 00:00:00,3.405,3.488,3.399,3.401,168489.13,MOBUSDT
2022-05-04 04:00:00,3.401,3.459,3.36,3.394,239127.45,MOBUSDT
2022-05-04 08:00:00,3.399,3.474,3.33,3.356,413462.87,MOBUSDT
2022-05-04 12:00:00,3.356,3.521,3.348,3.379,439862.02,MOBUSDT
2022-05-04 16:00:00,3.379,3.542,3.358,3.53,313713.29,MOBUSDT
2022-05-04 20:00:00,3.53,3.59,3.498,3.558,318984.08,MOBUSDT
2022-05-05 00:00:00,3.56,3.618,3.504,3.528,267598.31,MOBUSDT
2022-05-05 04:00:00,3.528,3.557,3.282,3.3,406782.76,MOBUSDT
2022-05-05 08:00:00,3.297,3.303,3.111,3.115,898192.23,MOBUSDT
2022-05-05 12:00:00,3.115,3.15,2.821,2.9,1374732.19,MOBUSDT
2022-05-05 16:00:00,2.899,2.957,2.791,2.861,351102.81,MOBUSDT
2022-05-05 20:00:00,2.859,2.887,2.8,2.883,288212.02,MOBUSDT
2022-05-06 00:00:00,2.882,2.884,2.743,2.771,310291.12,MOBUSDT
2022-05-06 04:00:00,2.771,2.846,2.754,2.796,277161.54,MOBUSDT
2022-05-06 08:00:00,2.796,2.796,2.675,2.704,250145.8,MOBUSDT
2022-05-06 12:00:00,2.703,2.751,2.617,2.69,343973.55,MOBUSDT
2022-05-06 16:00:00,2.689,2.814,2.654,2.725,205941.42,MOBUSDT
2022-05-06 20:00:00,2.724,2.756,2.707,2.726,74630.54,MOBUSDT
2022-05-07 00:00:00,2.728,3.172,2.718,3.141,1355526.06,MOBUSDT
2022-05-07 04:00:00,3.146,3.5,3.022,3.111,3958551.56,MOBUSDT
2022-05-07 08:00:00,3.116,3.353,3.027,3.236,2282533.69,MOBUSDT
2022-05-07 12:00:00,3.236,3.28,3.085,3.147,1133515.9,MOBUSDT
2022-05-07 16:00:00,3.146,3.2,2.937,2.974,1025262.4,MOBUSDT
2022-05-07 20:00:00,2.975,2.991,2.803,2.892,606112.14,MOBUSDT
2022-05-08 00:00:00,2.896,2.904,2.74,2.778,458953.98,MOBUSDT
2022-05-08 04:00:00,2.778,2.812,2.727,2.739,404203.06,MOBUSDT
2022-05-08 08:00:00,2.743,2.772,2.687,2.759,269110.22,MOBUSDT
2022-05-08 12:00:00,2.756,2.766,2.68,2.703,245721.45,MOBUSDT
2022-05-08 16:00:00,2.702,2.799,2.69,2.75,227894.51,MOBUSDT
2022-05-08 20:00:00,2.752,2.886,2.73,2.79,243676.72,MOBUSDT
2022-05-09 00:00:00,2.789,2.98,2.777,2.834,634718.82,MOBUSDT
2022-05-09 04:00:00,2.835,3.08,2.834,2.941,916798.7,MOBUSDT
2022-05-09 08:00:00,2.939,2.95,2.713,2.806,760291.71,MOBUSDT
2022-05-09 12:00:00,2.808,2.939,2.724,2.771,742671.05,MOBUSDT
2022-05-09 16:00:00,2.771,2.82,2.555,2.567,383863.99,MOBUSDT
2022-05-09 20:00:00,2.563,2.623,2.41,2.443,278598.83,MOBUSDT
2022-05-10 00:00:00,2.438,2.451,2.312,2.374,398356.85,MOBUSDT
