Date,Open,High,Low,Close,Volume,Asset_name
2022-04-29 12:00:00,2.2,5.05,2.104,2.295,25135644.27,NEXOUSDT
2022-04-29 16:00:00,2.292,2.37,2.15,2.224,4237014.61,NEXOUSDT
2022-04-29 20:00:00,2.22,2.38,2.19,2.344,2077343.36,NEXOUSDT
2022-04-30 00:00:00,2.341,2.61,2.266,2.466,6642122.47,NEXOUSDT
2022-04-30 04:00:00,2.468,2.71,2.45,2.545,4505325.15,NEXOUSDT
2022-04-30 08:00:00,2.546,3.072,2.5,2.695,16110840.82,NEXOUSDT
2022-04-30 12:00:00,2.691,2.825,2.51,2.608,5513774.91,NEXOUSDT
2022-04-30 16:00:00,2.606,2.739,2.407,2.517,3329855.32,NEXOUSDT
2022-04-30 20:00:00,2.518,2.63,2.284,2.333,1969689.39,NEXOUSDT
2022-05-01 00:00:00,2.335,2.5,2.11,2.294,1873100.15,NEXOUSDT
2022-05-01 04:00:00,2.298,2.314,2.15,2.251,914250.95,NEXOUSDT
2022-05-01 08:00:00,2.251,2.447,2.24,2.346,1250950.44,NEXOUSDT
2022-05-01 12:00:00,2.348,2.397,2.275,2.345,595857.84,NEXOUSDT
2022-05-01 16:00:00,2.345,2.37,2.182,2.262,755170.92,NEXOUSDT
2022-05-01 20:00:00,2.264,2.3,2.194,2.267,652086.41,NEXOUSDT
2022-05-02 00:00:00,2.265,2.353,2.193,2.244,709207.8,NEXOUSDT
2022-05-02 04:00:00,2.24,2.292,2.155,2.288,606016.87,NEXOUSDT
2022-05-02 08:00:00,2.291,2.292,2.16,2.192,596483.21,NEXOUSDT
2022-05-02 12:00:00,2.185,2.26,2.148,2.195,545186.21,NEXOUSDT
2022-05-02 16:00:00,2.195,2.202,2.117,2.161,478517.59,NEXOUSDT
2022-05-02 20:00:00,2.16,2.281,2.157,2.208,354839.74,NEXOUSDT
2022-05-03 00:00:00,2.204,2.247,2.145,2.18,292556.9,NEXOUSDT
2022-05-03 04:00:00,2.177,2.23,2.16,2.177,239646.08,NEXOUSDT
2022-05-03 08:00:00,2.178,2.204,2.123,2.201,501693.48,NEXOUSDT
2022-05-03 12:00:00,2.2,2.243,2.155,2.186,547672.18,NEXOUSDT
2022-05-03 16:00:00,2.182,2.19,2.069,2.103,447293.75,NEXOUSDT
