Date,Open,High,Low,Close,Volume,Asset_name
2021-05-19 04:00:00,3.218,3.99,2.63,2.849,3455729.31,POLSUSDT
2021-05-19 08:00:00,2.851,3.105,2.2,2.451,2151972.24,POLSUSDT
2021-05-19 12:00:00,2.483,2.589,1.343,2.476,2206406.42,POLSUSDT
2021-05-19 16:00:00,2.446,2.7,2.225,2.6,955562.5,POLSUSDT
2021-05-19 20:00:00,2.613,2.701,2.169,2.172,611777.85,POLSUSDT
2021-05-20 00:00:00,2.173,2.306,1.9,2.215,513174.63,POLSUSDT
2021-05-20 04:00:00,2.228,2.53,2.161,2.451,389516.86,POLSUSDT
2021-05-20 08:00:00,2.451,2.6,2.273,2.475,351937.11,POLSUSDT
2021-05-20 12:00:00,2.478,2.93,2.385,2.633,1053072.75,POLSUSDT
2021-05-20 16:00:00,2.632,2.669,2.31,2.525,527349.46,POLSUSDT
2021-05-20 20:00:00,2.527,2.584,2.431,2.481,225318.3,POLSUSDT
2021-05-21 00:00:00,2.48,2.7,2.478,2.505,197035.6,POLSUSDT
2021-05-21 04:00:00,2.51,2.649,2.35,2.422,266033.27,POLSUSDT
2021-05-21 08:00:00,2.422,2.613,2.325,2.517,431940.51,POLSUSDT
2021-05-21 12:00:00,2.518,2.615,2.023,2.063,721123.95,POLSUSDT
2021-05-21 16:00:00,2.06,2.262,2.011,2.059,387939.64,POLSUSDT
2021-05-21 20:00:00,2.05,2.2,1.851,2.176,361383.27,POLSUSDT
2021-05-22 00:00:00,2.176,2.206,2.005,2.02,151424.28,POLSUSDT
2021-05-22 04:00:00,2.023,2.069,1.85,1.93,187730.37,POLSUSDT
2021-05-22 08:00:00,1.93,2.075,1.93,2.01,231273.96,POLSUSDT
2021-05-22 12:00:00,2.024,2.095,1.94,1.995,354582.69,POLSUSDT
2021-05-22 16:00:00,1.995,2.013,1.85,1.886,180223.99,POLSUSDT
2021-05-22 20:00:00,1.876,1.977,1.87,1.888,125432.63,POLSUSDT
2021-05-23 00:00:00,1.898,1.967,1.838,1.874,137259.09,POLSUSDT
2021-05-23 04:00:00,1.867,1.869,1.68,1.698,198073.37,POLSUSDT
2021-05-23 08:00:00,1.698,1.726,1.517,1.621,399416.0,POLSUSDT
2021-05-23 12:00:00,1.61,1.638,1.397,1.436,383471.63,POLSUSDT
2021-05-23 16:00:00,1.436,1.466,1.3,1.404,445771.32,POLSUSDT
2021-05-23 20:00:00,1.406,1.754,1.404,1.582,575267.64,POLSUSDT
2021-05-24 00:00:00,1.571,1.75,1.57,1.691,240427.78,POLSUSDT
2021-05-24 04:00:00,1.691,1.87,1.62,1.774,429646.56,POLSUSDT
2021-05-24 08:00:00,1.778,1.9,1.705,1.89,478786.02,POLSUSDT
2021-05-24 12:00:00,1.89,2.08,1.822,1.941,505373.39,POLSUSDT
2021-05-24 16:00:00,1.949,2.071,1.851,2.054,469168.25,POLSUSDT
2021-05-24 20:00:00,2.053,2.1,1.982,2.04,315578.91,POLSUSDT
2021-05-25 00:00:00,2.047,2.2,1.885,1.947,394959.64,POLSUSDT
2021-05-25 04:00:00,1.947,1.995,1.878,1.961,233613.8,POLSUSDT
2021-05-25 08:00:00,1.962,1.978,1.691,1.745,377810.63,POLSUSDT
2021-05-25 12:00:00,1.732,1.887,1.707,1.881,205922.61,POLSUSDT
2021-05-25 16:00:00,1.878,1.897,1.786,1.787,174528.95,POLSUSDT
2021-05-25 20:00:00,1.786,1.935,1.781,1.927,120710.23,POLSUSDT
2021-05-26 00:00:00,1.923,2.101,1.888,2.062,164770.66,POLSUSDT
2021-05-26 04:00:00,2.072,2.165,2.026,2.142,195780.87,POLSUSDT
2021-05-26 08:00:00,2.146,2.172,1.994,2.018,182619.03,POLSUSDT
2021-05-26 12:00:00,2.007,2.1,1.88,1.914,248452.45,POLSUSDT
2021-05-26 16:00:00,1.914,1.975,1.88,1.938,174476.03,POLSUSDT
2021-05-26 20:00:00,1.942,2.062,1.93,2.062,142297.33,POLSUSDT
2021-05-27 00:00:00,2.062,2.062,1.832,1.857,129230.03,POLSUSDT
2021-05-27 04:00:00,1.855,1.95,1.851,1.913,106951.05,POLSUSDT
2021-05-27 08:00:00,1.913,2.2,1.889,2.082,239320.23,POLSUSDT
2021-05-27 12:00:00,2.081,2.194,2.001,2.076,538724.36,POLSUSDT
