Date,Open,High,Low,Close,Volume,Asset_name
2021-11-16 12:00:00,1.0,41.11,1.0,10.4367,22636830.26,PORTOUSDT
2021-11-16 16:00:00,10.447,10.85,8.3612,8.5999,4100437.8,PORTOUSDT
2021-11-16 20:00:00,8.5992,8.7666,7.7382,8.303,2805872.13,PORTOUSDT
2021-11-17 00:00:00,8.2901,9.1798,7.7301,8.2552,2261428.38,PORTOUSDT
2021-11-17 04:00:00,8.2552,8.55,7.3255,7.4403,1245772.94,PORTOUSDT
2021-11-17 08:00:00,7.4407,7.9515,7.3917,7.6453,1523288.1,PORTOUSDT
2021-11-17 12:00:00,7.65,7.66,6.8266,6.8465,1115025.56,PORTOUSDT
2021-11-17 16:00:00,6.8465,7.1696,6.6798,6.696,983376.81,PORTOUSDT
2021-11-17 20:00:00,6.6998,6.8641,6.5192,6.7703,468774.28,PORTOUSDT
2021-11-18 00:00:00,6.7645,6.7886,6.5,6.5899,274360.51,PORTOUSDT
2021-11-18 04:00:00,6.5721,6.5858,5.9066,6.1347,676534.13,PORTOUSDT
2021-11-18 08:00:00,6.131,6.243,5.8379,5.94,706729.29,PORTOUSDT
2021-11-18 12:00:00,5.9588,6.2346,5.6,5.6058,655019.04,PORTOUSDT
2021-11-18 16:00:00,5.6122,5.7447,5.1924,5.5203,528201.51,PORTOUSDT
2021-11-18 20:00:00,5.5296,5.6141,5.29,5.492,228400.51,PORTOUSDT
2021-11-19 00:00:00,5.492,5.96,5.3323,5.6347,438361.59,PORTOUSDT
2021-11-19 04:00:00,5.6527,6.0,5.4395,5.5135,246397.49,PORTOUSDT
2021-11-19 08:00:00,5.5016,5.81,5.5,5.6433,202304.14,PORTOUSDT
2021-11-19 12:00:00,5.6423,7.0522,5.6289,6.1679,2748371.05,PORTOUSDT
2021-11-19 16:00:00,6.153,6.3787,6.0,6.0259,474836.35,PORTOUSDT
2021-11-19 20:00:00,6.0386,6.342,6.0228,6.1031,326942.37,PORTOUSDT
2021-11-20 00:00:00,6.1037,6.1697,6.0,6.0574,162330.13,PORTOUSDT
2021-11-20 04:00:00,6.056,6.19,5.92,6.19,234973.77,PORTOUSDT
2021-11-20 08:00:00,6.1818,6.5,6.0999,6.175,396483.15,PORTOUSDT
2021-11-20 12:00:00,6.1832,6.2577,5.95,6.0011,367389.87,PORTOUSDT
2021-11-20 16:00:00,6.0013,6.245,5.8702,6.06,391777.99,PORTOUSDT
2021-11-20 20:00:00,6.0569,6.1103,6.0,6.0635,135430.71,PORTOUSDT
2021-11-21 00:00:00,6.0635,6.2798,5.98,6.0,262425.95,PORTOUSDT
2021-11-21 04:00:00,6.0065,6.2,5.9533,6.0925,169918.95,PORTOUSDT
2021-11-21 08:00:00,6.0925,6.1558,5.9,5.9865,267753.34,PORTOUSDT
2021-11-21 12:00:00,5.9893,6.02,5.72,5.8159,275573.12,PORTOUSDT
2021-11-21 16:00:00,5.8215,5.9599,5.699,5.7241,174064.72,PORTOUSDT
2021-11-21 20:00:00,5.7245,5.9103,5.65,5.6958,171009.85,PORTOUSDT
2021-11-22 00:00:00,5.6677,6.05,5.458,5.5891,596447.47,PORTOUSDT
2021-11-22 04:00:00,5.5902,6.0406,5.5816,5.8727,341173.08,PORTOUSDT
2021-11-22 08:00:00,5.8728,6.5898,5.8548,5.9785,855271.25,PORTOUSDT
2021-11-22 12:00:00,5.9893,6.357,5.9777,6.1133,477608.18,PORTOUSDT
2021-11-22 16:00:00,6.103,6.1326,5.895,5.9011,214988.73,PORTOUSDT
2021-11-22 20:00:00,5.9014,6.088,5.7991,6.0217,174668.12,PORTOUSDT
2021-11-23 00:00:00,6.013,6.4999,5.9,6.1179,316174.05,PORTOUSDT
2021-11-23 04:00:00,6.1182,6.1182,5.7105,5.8399,215652.67,PORTOUSDT
2021-11-23 08:00:00,5.8431,6.2003,5.4904,5.5996,1133897.58,PORTOUSDT
2021-11-23 12:00:00,5.5972,5.7058,5.401,5.5966,398533.11,PORTOUSDT
2021-11-23 16:00:00,5.6,5.66,5.5,5.5747,208481.44,PORTOUSDT
2021-11-23 20:00:00,5.5737,5.5908,5.5224,5.5502,100453.54,PORTOUSDT
2021-11-24 00:00:00,5.56,5.7,5.4,5.4941,137730.89,PORTOUSDT
2021-11-24 04:00:00,5.479,5.565,5.25,5.3194,213546.36,PORTOUSDT
2021-11-24 08:00:00,5.319,5.499,5.2,5.3101,245203.98,PORTOUSDT
2021-11-24 12:00:00,5.33,5.3627,5.075,5.1537,236779.62,PORTOUSDT
2021-11-24 16:00:00,5.1549,5.2091,5.0,5.1015,159153.8,PORTOUSDT
2021-11-24 20:00:00,5.1093,5.1533,5.0224,5.0712,160668.73,PORTOUSDT
2021-11-25 00:00:00,5.0716,5.35,5.0716,5.2698,114623.89,PORTOUSDT
2021-11-25 04:00:00,5.2689,5.2779,5.0687,5.1164,121419.95,PORTOUSDT
2021-11-25 08:00:00,5.117,5.1755,4.9963,5.0383,164898.45,PORTOUSDT
2021-11-25 12:00:00,5.03,5.1151,5.0,5.0727,214806.36,PORTOUSDT
2021-11-25 16:00:00,5.0809,5.1248,4.93,4.9882,229279.35,PORTOUSDT
2021-11-25 20:00:00,4.9875,5.1208,4.9553,5.0272,115432.77,PORTOUSDT
2021-11-26 00:00:00,5.0204,5.0713,4.89,4.8901,60985.05,PORTOUSDT
2021-11-26 04:00:00,4.897,5.2382,4.7695,4.8172,403076.99,PORTOUSDT
2021-11-26 08:00:00,4.804,4.804,4.25,4.3272,303081.23,PORTOUSDT
2021-11-26 12:00:00,4.3276,4.5609,4.2742,4.4071,132204.27,PORTOUSDT
2021-11-26 16:00:00,4.4012,4.4689,4.3427,4.435,85561.93,PORTOUSDT
2021-11-26 20:00:00,4.4301,4.4586,4.3,4.3004,61449.63,PORTOUSDT
2021-11-27 00:00:00,4.3102,4.4339,4.3053,4.3826,47213.24,PORTOUSDT
2021-11-27 04:00:00,4.3826,4.6622,4.3344,4.3922,111058.17,PORTOUSDT
2021-11-27 08:00:00,4.3842,4.5367,4.353,4.4242,171886.72,PORTOUSDT
2021-11-27 12:00:00,4.4332,4.4818,4.3902,4.4482,67374.76,PORTOUSDT
2021-11-27 16:00:00,4.4516,4.4834,4.4111,4.4334,63120.61,PORTOUSDT
2021-11-27 20:00:00,4.425,4.4384,4.29,4.3207,100070.37,PORTOUSDT
2021-11-28 00:00:00,4.3238,4.3412,4.0927,4.2658,75885.25,PORTOUSDT
2021-11-28 04:00:00,4.2658,4.2898,4.051,4.1535,83453.16,PORTOUSDT
