Date,Open,High,Low,Close,Volume,Asset_name
2021-04-09 04:00:00,7.03,9.699,5.5,5.798,15270083.876,PUNDIXUSDT
2021-04-09 08:00:00,5.798,6.8,5.201,5.89,9478156.285,PUNDIXUSDT
2021-04-09 12:00:00,5.892,5.893,5.4,5.564,4221068.642,PUNDIXUSDT
2021-04-09 16:00:00,5.564,5.828,5.4,5.622,3102703.821,PUNDIXUSDT
2021-04-09 20:00:00,5.628,5.75,5.501,5.529,1742098.53,PUNDIXUSDT
2021-04-10 00:00:00,5.529,5.67,5.21,5.253,2170374.091,PUNDIXUSDT
2021-04-10 04:00:00,5.253,5.276,4.951,5.082,3039335.4,PUNDIXUSDT
2021-04-10 08:00:00,5.082,5.5,4.88,5.328,3787919.324,PUNDIXUSDT
2021-04-10 12:00:00,5.328,5.329,4.538,4.571,4811892.717,PUNDIXUSDT
2021-04-10 16:00:00,4.552,5.0,4.324,4.67,5135641.162,PUNDIXUSDT
2021-04-10 20:00:00,4.652,4.789,4.463,4.774,1781524.391,PUNDIXUSDT
2021-04-11 00:00:00,4.767,4.8,4.35,4.379,1773358.631,PUNDIXUSDT
2021-04-11 04:00:00,4.38,4.4,3.862,4.302,3852912.066,PUNDIXUSDT
2021-04-11 08:00:00,4.309,4.6,4.301,4.43,2849616.336,PUNDIXUSDT
2021-04-11 12:00:00,4.431,4.7,4.353,4.658,2602320.727,PUNDIXUSDT
2021-04-11 16:00:00,4.659,4.75,4.438,4.509,2400505.814,PUNDIXUSDT
2021-04-11 20:00:00,4.509,4.591,4.381,4.47,1108561.604,PUNDIXUSDT
2021-04-12 00:00:00,4.475,4.74,4.431,4.599,1660899.055,PUNDIXUSDT
2021-04-12 04:00:00,4.591,5.6,4.541,4.932,8644189.561,PUNDIXUSDT
2021-04-12 08:00:00,4.932,5.1,4.705,4.847,2803024.086,PUNDIXUSDT
2021-04-12 12:00:00,4.841,4.968,4.593,4.634,2207013.683,PUNDIXUSDT
2021-04-12 16:00:00,4.634,4.961,4.457,4.719,3260032.596,PUNDIXUSDT
2021-04-12 20:00:00,4.721,4.831,4.603,4.673,1456257.024,PUNDIXUSDT
2021-04-13 00:00:00,4.663,4.694,4.526,4.649,915266.752,PUNDIXUSDT
2021-04-13 04:00:00,4.652,4.74,4.375,4.439,1650665.011,PUNDIXUSDT
2021-04-13 08:00:00,4.436,4.591,4.315,4.465,1880689.516,PUNDIXUSDT
2021-04-13 12:00:00,4.465,4.587,4.4,4.45,1501585.188,PUNDIXUSDT
2021-04-13 16:00:00,4.451,4.488,4.221,4.423,2071767.449,PUNDIXUSDT
2021-04-13 20:00:00,4.424,4.561,4.281,4.532,1363918.648,PUNDIXUSDT
2021-04-14 00:00:00,4.546,4.789,4.202,4.278,1729607.156,PUNDIXUSDT
2021-04-14 04:00:00,4.277,4.31,4.088,4.257,1969381.461,PUNDIXUSDT
2021-04-14 08:00:00,4.261,4.279,4.05,4.134,1953398.325,PUNDIXUSDT
2021-04-14 12:00:00,4.133,4.174,3.901,4.085,2301291.98,PUNDIXUSDT
2021-04-14 16:00:00,4.081,4.117,3.82,3.914,1573477.655,PUNDIXUSDT
2021-04-14 20:00:00,3.911,4.276,3.845,4.147,1692413.474,PUNDIXUSDT
2021-04-15 00:00:00,4.145,4.249,4.04,4.138,1131503.563,PUNDIXUSDT
2021-04-15 04:00:00,4.124,4.294,4.05,4.132,1299531.066,PUNDIXUSDT
2021-04-15 08:00:00,4.134,4.244,4.103,4.143,1183918.466,PUNDIXUSDT
2021-04-15 12:00:00,4.141,4.29,4.139,4.23,1473841.058,PUNDIXUSDT
2021-04-15 16:00:00,4.23,4.55,4.2,4.355,2535682.613,PUNDIXUSDT
2021-04-15 20:00:00,4.355,4.4,4.232,4.314,1182001.642,PUNDIXUSDT
2021-04-16 00:00:00,4.31,4.315,3.95,3.987,1684934.704,PUNDIXUSDT
2021-04-16 04:00:00,3.982,4.058,3.9,4.013,1473740.982,PUNDIXUSDT
2021-04-16 08:00:00,4.008,4.036,3.8,3.864,1553189.134,PUNDIXUSDT
2021-04-16 12:00:00,3.865,3.913,3.6,3.807,2537526.002,PUNDIXUSDT
2021-04-16 16:00:00,3.81,3.957,3.707,3.814,1775883.016,PUNDIXUSDT
2021-04-16 20:00:00,3.814,3.932,3.8,3.835,1394800.393,PUNDIXUSDT
