Date,Open,High,Low,Close,Volume,Asset_name
2023-01-18 08:00:00,25.66,42.9,25.66,35.75,407785.4,RPLUSDT
2023-01-18 12:00:00,35.75,35.79,31.7,32.35,80557.72,RPLUSDT
2023-01-18 16:00:00,32.36,32.9,29.5,30.56,98870.49,RPLUSDT
2023-01-18 20:00:00,30.57,33.09,29.55,31.48,70723.05,RPLUSDT
2023-01-19 00:00:00,31.44,34.45,30.66,32.99,59156.04,RPLUSDT
2023-01-19 04:00:00,32.99,34.48,32.5,33.27,46980.68,RPLUSDT
2023-01-19 08:00:00,33.36,33.36,31.4,31.5,36353.3,RPLUSDT
2023-01-19 12:00:00,31.57,32.7,30.53,31.94,21662.0,RPLUSDT
2023-01-19 16:00:00,31.94,32.55,30.83,32.04,20328.12,RPLUSDT
2023-01-19 20:00:00,32.04,32.6,31.65,32.49,19925.9,RPLUSDT
2023-01-20 00:00:00,32.49,35.5,32.25,35.02,54425.14,RPLUSDT
2023-01-20 04:00:00,35.02,35.68,33.76,34.55,35232.75,RPLUSDT
2023-01-20 08:00:00,34.63,35.36,33.91,34.26,32296.51,RPLUSDT
2023-01-20 12:00:00,34.25,36.97,34.01,35.59,45722.51,RPLUSDT
2023-01-20 16:00:00,35.55,37.73,35.5,36.55,40431.04,RPLUSDT
2023-01-20 20:00:00,36.54,38.0,36.22,37.52,46044.2,RPLUSDT
2023-01-21 00:00:00,37.61,38.2,36.84,36.86,16271.95,RPLUSDT
2023-01-21 04:00:00,36.9,37.18,36.11,36.3,18821.21,RPLUSDT
2023-01-21 08:00:00,36.31,38.1,36.02,36.75,39517.2,RPLUSDT
2023-01-21 12:00:00,36.67,37.17,35.69,36.27,14362.22,RPLUSDT
2023-01-21 16:00:00,36.27,36.81,36.07,36.73,5272.56,RPLUSDT
2023-01-21 20:00:00,36.72,36.83,33.88,34.87,17864.29,RPLUSDT
2023-01-22 00:00:00,35.05,36.15,34.52,34.76,10321.26,RPLUSDT
2023-01-22 04:00:00,34.76,36.1,34.72,36.09,5455.32,RPLUSDT
2023-01-22 08:00:00,35.91,36.43,35.38,35.55,13828.54,RPLUSDT
2023-01-22 12:00:00,35.55,35.93,35.09,35.24,9171.39,RPLUSDT
2023-01-22 16:00:00,35.24,36.36,34.81,35.24,12431.51,RPLUSDT
