Date,Open,High,Low,Close,Volume,Asset_name
2023-02-24 08:00:00,36.46,98.0,36.36,37.1,52776.978,SSVUSDT
2023-02-24 12:00:00,37.1,39.85,36.58,36.82,100802.775,SSVUSDT
2023-02-24 16:00:00,36.85,39.32,35.9,39.07,70136.711,SSVUSDT
2023-02-24 20:00:00,39.09,39.53,37.35,37.85,28379.356,SSVUSDT
2023-02-25 00:00:00,37.89,38.45,36.0,37.79,53399.961,SSVUSDT
2023-02-25 04:00:00,37.73,38.86,36.39,37.35,56752.406,SSVUSDT
2023-02-25 08:00:00,37.35,39.8,37.16,39.53,116803.432,SSVUSDT
2023-02-25 12:00:00,39.56,41.74,38.61,40.63,157027.198,SSVUSDT
2023-02-25 16:00:00,40.6,41.0,39.16,39.84,46966.918,SSVUSDT
2023-02-25 20:00:00,39.82,41.0,38.33,40.0,63319.242,SSVUSDT
2023-02-26 00:00:00,40.01,43.94,39.65,43.75,135271.017,SSVUSDT
2023-02-26 04:00:00,43.76,44.49,42.32,43.2,81615.555,SSVUSDT
2023-02-26 08:00:00,43.19,43.98,42.08,43.26,65417.424,SSVUSDT
2023-02-26 12:00:00,43.27,44.43,42.8,43.29,65783.055,SSVUSDT
2023-02-26 16:00:00,43.29,46.0,43.2,45.06,59643.544,SSVUSDT
2023-02-26 20:00:00,45.1,45.5,43.7,44.82,30025.882,SSVUSDT
2023-02-27 00:00:00,44.82,44.97,42.81,44.19,45758.082,SSVUSDT
2023-02-27 04:00:00,44.19,47.1,43.28,45.56,92752.603,SSVUSDT
2023-02-27 08:00:00,45.59,46.03,43.97,45.23,52413.57,SSVUSDT
2023-02-27 12:00:00,45.23,47.48,44.55,45.92,78258.162,SSVUSDT
2023-02-27 16:00:00,45.99,49.5,45.41,48.02,148145.685,SSVUSDT
2023-02-27 20:00:00,48.01,49.9,47.62,48.97,74844.659,SSVUSDT
2023-02-28 00:00:00,49.05,49.9,44.89,46.6,192487.388,SSVUSDT
2023-02-28 04:00:00,46.59,46.66,44.23,44.39,149476.433,SSVUSDT
2023-02-28 08:00:00,44.39,45.87,44.36,44.71,86182.3,SSVUSDT
2023-02-28 12:00:00,44.65,44.82,42.97,44.35,104845.5,SSVUSDT
2023-02-28 16:00:00,44.34,44.72,41.0,41.29,77339.796,SSVUSDT
2023-02-28 20:00:00,41.29,42.98,40.69,41.91,96236.645,SSVUSDT
2023-03-01 00:00:00,41.91,46.0,40.85,45.58,150841.912,SSVUSDT
2023-03-01 04:00:00,45.63,47.13,43.13,43.4,199830.712,SSVUSDT
2023-03-01 08:00:00,43.39,45.6,42.42,43.05,105093.611,SSVUSDT
2023-03-01 12:00:00,43.04,43.05,41.11,41.94,105544.474,SSVUSDT
2023-03-01 16:00:00,41.91,42.38,41.18,41.92,37329.984,SSVUSDT
2023-03-01 20:00:00,41.89,43.28,41.68,42.77,39843.105,SSVUSDT
2023-03-02 00:00:00,42.78,44.5,41.72,42.37,62006.911,SSVUSDT
2023-03-02 04:00:00,42.47,42.47,40.1,41.11,83744.59,SSVUSDT
2023-03-02 08:00:00,41.13,41.77,39.39,40.33,88339.658,SSVUSDT
2023-03-02 12:00:00,40.28,40.67,38.56,40.44,93477.467,SSVUSDT
2023-03-02 16:00:00,40.44,41.64,39.65,41.14,63170.66,SSVUSDT
2023-03-02 20:00:00,41.16,42.0,40.66,41.03,27715.125,SSVUSDT
2023-03-03 00:00:00,41.03,42.2,36.23,41.7,355237.833,SSVUSDT
2023-03-03 04:00:00,41.68,45.9,41.23,43.9,329129.853,SSVUSDT
2023-03-03 08:00:00,43.9,45.0,43.0,44.01,151545.073,SSVUSDT
2023-03-03 12:00:00,44.01,44.91,42.8,43.36,135445.85,SSVUSDT
2023-03-03 16:00:00,43.35,43.92,40.11,40.2,117461.941,SSVUSDT
2023-03-03 20:00:00,40.21,41.41,38.56,39.76,155891.241,SSVUSDT
2023-03-04 00:00:00,39.75,41.42,39.04,39.87,137510.778,SSVUSDT
2023-03-04 04:00:00,39.85,40.16,38.96,39.63,72308.12,SSVUSDT
2023-03-04 08:00:00,39.58,39.58,38.08,38.72,107542.216,SSVUSDT
2023-03-04 12:00:00,38.7,39.55,37.67,37.97,91730.433,SSVUSDT
2023-03-04 16:00:00,37.96,38.5,36.82,37.08,65482.201,SSVUSDT
2023-03-04 20:00:00,37.07,38.64,35.01,38.42,158285.276,SSVUSDT
2023-03-05 00:00:00,38.42,40.21,37.13,37.9,186397.896,SSVUSDT
2023-03-05 04:00:00,37.94,38.87,36.71,36.92,58822.045,SSVUSDT
2023-03-05 08:00:00,36.91,38.7,35.36,38.06,225113.883,SSVUSDT
2023-03-05 12:00:00,38.06,40.14,37.66,39.21,124487.484,SSVUSDT
2023-03-05 16:00:00,39.21,39.71,38.33,38.86,44988.175,SSVUSDT
2023-03-05 20:00:00,38.86,39.6,38.43,38.72,30528.043,SSVUSDT
2023-03-06 00:00:00,38.73,39.29,37.09,38.32,84100.953,SSVUSDT
2023-03-06 04:00:00,38.33,38.56,37.58,37.58,49107.984,SSVUSDT
2023-03-06 08:00:00,37.58,37.83,36.84,36.95,45109.151,SSVUSDT
2023-03-06 12:00:00,36.96,39.36,36.67,38.96,74528.511,SSVUSDT
2023-03-06 16:00:00,39.0,39.37,38.0,38.2,32799.187,SSVUSDT
2023-03-06 20:00:00,38.19,38.97,38.0,38.85,31114.848,SSVUSDT
2023-03-07 00:00:00,38.84,39.92,38.07,38.96,68736.32,SSVUSDT
2023-03-07 04:00:00,38.96,39.67,38.11,38.93,47976.952,SSVUSDT
2023-03-07 08:00:00,38.91,40.05,38.31,38.5,87061.396,SSVUSDT
2023-03-07 12:00:00,38.5,41.01,38.31,40.11,192595.491,SSVUSDT
2023-03-07 16:00:00,40.07,40.37,38.62,39.0,51504.528,SSVUSDT
2023-03-07 20:00:00,38.99,39.97,38.61,39.58,67460.131,SSVUSDT
