Date,Open,High,Low,Close,Volume,Asset_name
2024-02-20 12:00:00,0.2,7.71,0.2,2.342,100802176.37,STRKUSDT
2024-02-20 16:00:00,2.342,2.4,2.002,2.093,61988057.35,STRKUSDT
2024-02-20 20:00:00,2.092,2.13,1.85,1.965,31265280.59,STRKUSDT
2024-02-21 00:00:00,1.965,2.189,1.921,2.012,29669857.69,STRKUSDT
2024-02-21 04:00:00,2.012,2.072,1.905,1.919,20429608.53,STRKUSDT
2024-02-21 08:00:00,1.919,1.972,1.811,1.835,30668433.92,STRKUSDT
2024-02-21 12:00:00,1.835,1.85,1.673,1.767,50948235.62,STRKUSDT
2024-02-21 16:00:00,1.767,1.959,1.753,1.826,42096346.2,STRKUSDT
2024-02-21 20:00:00,1.827,1.926,1.764,1.892,14566405.53,STRKUSDT
2024-02-22 00:00:00,1.892,1.905,1.802,1.889,12690053.32,STRKUSDT
2024-02-22 04:00:00,1.889,1.93,1.82,1.879,15015104.8,STRKUSDT
2024-02-22 08:00:00,1.88,1.96,1.846,1.895,22090907.07,STRKUSDT
2024-02-22 12:00:00,1.894,1.908,1.815,1.848,13816964.49,STRKUSDT
2024-02-22 16:00:00,1.848,1.9,1.81,1.873,10049953.21,STRKUSDT
2024-02-22 20:00:00,1.873,2.043,1.85,1.93,28956082.34,STRKUSDT
2024-02-23 00:00:00,1.929,2.15,1.918,2.076,37194733.42,STRKUSDT
2024-02-23 04:00:00,2.076,2.178,2.02,2.038,28519923.75,STRKUSDT
2024-02-23 08:00:00,2.038,2.086,2.005,2.054,14901437.79,STRKUSDT
2024-02-23 12:00:00,2.054,2.055,1.86,1.889,24345231.43,STRKUSDT
2024-02-23 16:00:00,1.888,1.977,1.849,1.969,11429558.17,STRKUSDT
2024-02-23 20:00:00,1.968,1.977,1.886,1.927,5913942.21,STRKUSDT
2024-02-24 00:00:00,1.927,1.935,1.86,1.907,6576309.67,STRKUSDT
2024-02-24 04:00:00,1.908,1.925,1.879,1.922,5264568.28,STRKUSDT
2024-02-24 08:00:00,1.922,1.939,1.885,1.935,4805878.1,STRKUSDT
2024-02-24 12:00:00,1.935,1.949,1.905,1.934,5166973.01,STRKUSDT
2024-02-24 16:00:00,1.935,1.965,1.917,1.946,6257428.93,STRKUSDT
2024-02-24 20:00:00,1.948,1.95,1.875,1.895,8428986.62,STRKUSDT
2024-02-25 00:00:00,1.895,1.928,1.876,1.901,4771352.77,STRKUSDT
2024-02-25 04:00:00,1.9,1.924,1.884,1.913,5005947.07,STRKUSDT
2024-02-25 08:00:00,1.913,1.917,1.878,1.887,5380674.61,STRKUSDT
2024-02-25 12:00:00,1.887,1.95,1.885,1.911,6919332.52,STRKUSDT
2024-02-25 16:00:00,1.912,1.943,1.9,1.932,4092542.75,STRKUSDT
2024-02-25 20:00:00,1.931,1.957,1.912,1.948,4581858.59,STRKUSDT
2024-02-26 00:00:00,1.948,1.959,1.903,1.933,5125261.72,STRKUSDT
2024-02-26 04:00:00,1.933,1.957,1.914,1.915,7291662.27,STRKUSDT
2024-02-26 08:00:00,1.915,1.933,1.858,1.873,7490229.22,STRKUSDT
2024-02-26 12:00:00,1.873,1.908,1.861,1.9,7361898.27,STRKUSDT
2024-02-26 16:00:00,1.9,1.95,1.9,1.941,9112044.14,STRKUSDT
2024-02-26 20:00:00,1.941,2.014,1.926,1.971,14203358.14,STRKUSDT
2024-02-27 00:00:00,1.971,1.998,1.923,1.935,12250373.89,STRKUSDT
2024-02-27 04:00:00,1.935,2.061,1.935,2.027,17307879.89,STRKUSDT
