Date,Open,High,Low,Close,Volume,Asset_name
2023-02-22 08:00:00,0.984,1.8899,0.984,1.6121,27333711.1,SYNUSDT
2023-02-22 12:00:00,1.6111,1.62,1.3664,1.4111,9885897.0,SYNUSDT
2023-02-22 16:00:00,1.411,1.5649,1.3285,1.529,8819737.9,SYNUSDT
2023-02-22 20:00:00,1.5319,1.65,1.4321,1.6401,5830005.7,SYNUSDT
2023-02-23 00:00:00,1.6383,1.7471,1.46,1.64,8148249.5,SYNUSDT
2023-02-23 04:00:00,1.6399,1.6459,1.5136,1.542,2493938.3,SYNUSDT
2023-02-23 08:00:00,1.5419,1.721,1.5136,1.5448,7893880.9,SYNUSDT
2023-02-23 12:00:00,1.5447,1.65,1.4856,1.4951,3550698.0,SYNUSDT
2023-02-23 16:00:00,1.4951,1.52,1.45,1.4928,1657196.5,SYNUSDT
2023-02-23 20:00:00,1.4945,1.515,1.4559,1.4687,740715.9,SYNUSDT
2023-02-24 00:00:00,1.4657,1.4983,1.4174,1.446,811160.5,SYNUSDT
2023-02-24 04:00:00,1.446,1.4764,1.408,1.4183,907399.4,SYNUSDT
2023-02-24 08:00:00,1.4206,1.4398,1.398,1.4145,1152867.3,SYNUSDT
2023-02-24 12:00:00,1.4145,1.468,1.39,1.4083,1823270.6,SYNUSDT
2023-02-24 16:00:00,1.4083,1.4103,1.34,1.3598,740305.3,SYNUSDT
2023-02-24 20:00:00,1.3636,1.395,1.325,1.3299,575183.3,SYNUSDT
2023-02-25 00:00:00,1.3313,1.3548,1.31,1.3229,404627.5,SYNUSDT
2023-02-25 04:00:00,1.3215,1.3573,1.2962,1.315,477987.1,SYNUSDT
2023-02-25 08:00:00,1.315,1.327,1.2733,1.3017,833554.9,SYNUSDT
2023-02-25 12:00:00,1.3027,1.339,1.2924,1.3241,720085.2,SYNUSDT
2023-02-25 16:00:00,1.324,1.3641,1.2654,1.2849,761217.5,SYNUSDT
2023-02-25 20:00:00,1.2848,1.36,1.2504,1.3199,685160.6,SYNUSDT
2023-02-26 00:00:00,1.32,1.4199,1.3064,1.3801,1058071.0,SYNUSDT
2023-02-26 04:00:00,1.3801,1.4149,1.3577,1.396,550871.8,SYNUSDT
2023-02-26 08:00:00,1.396,1.4492,1.3762,1.4095,1033008.2,SYNUSDT
2023-02-26 12:00:00,1.4116,1.4122,1.3709,1.3797,443681.5,SYNUSDT
2023-02-26 16:00:00,1.3796,1.468,1.3709,1.4251,873032.1,SYNUSDT
2023-02-26 20:00:00,1.4252,1.4582,1.36,1.362,800205.1,SYNUSDT
2023-02-27 00:00:00,1.362,1.3694,1.337,1.3438,375275.0,SYNUSDT
2023-02-27 04:00:00,1.3436,1.3786,1.3,1.3356,777034.1,SYNUSDT
2023-02-27 08:00:00,1.3337,1.3666,1.33,1.3434,336604.3,SYNUSDT
2023-02-27 12:00:00,1.3444,1.4177,1.3197,1.3794,962781.3,SYNUSDT
2023-02-27 16:00:00,1.379,1.3937,1.3141,1.3191,706658.7,SYNUSDT
2023-02-27 20:00:00,1.317,1.3215,1.2911,1.3167,569782.2,SYNUSDT
2023-02-28 00:00:00,1.3172,1.3201,1.2524,1.2875,738357.0,SYNUSDT
2023-02-28 04:00:00,1.2852,1.32,1.26,1.3004,593248.9,SYNUSDT
2023-02-28 08:00:00,1.3004,1.3192,1.2735,1.295,793975.6,SYNUSDT
2023-02-28 12:00:00,1.2934,1.34,1.2913,1.33,737724.9,SYNUSDT
2023-02-28 16:00:00,1.3327,1.35,1.2985,1.3025,481508.7,SYNUSDT
2023-02-28 20:00:00,1.3002,1.3025,1.2737,1.2839,727884.8,SYNUSDT
2023-03-01 00:00:00,1.2869,1.3286,1.267,1.303,327363.3,SYNUSDT
2023-03-01 04:00:00,1.303,1.369,1.285,1.3425,905212.6,SYNUSDT
2023-03-01 08:00:00,1.3405,1.377,1.3109,1.3424,948623.3,SYNUSDT
2023-03-01 12:00:00,1.3426,1.3491,1.295,1.3082,552396.3,SYNUSDT
2023-03-01 16:00:00,1.309,1.37,1.302,1.3211,850928.3,SYNUSDT
2023-03-01 20:00:00,1.3215,1.324,1.2752,1.2812,473193.2,SYNUSDT
2023-03-02 00:00:00,1.2812,1.3029,1.2812,1.29,482055.0,SYNUSDT
2023-03-02 04:00:00,1.29,1.36,1.29,1.2941,671068.9,SYNUSDT
2023-03-02 08:00:00,1.2921,1.2976,1.235,1.2373,830815.3,SYNUSDT
2023-03-02 12:00:00,1.2389,1.2413,1.172,1.192,793594.8,SYNUSDT
2023-03-02 16:00:00,1.192,1.2265,1.1719,1.2081,673051.7,SYNUSDT
2023-03-02 20:00:00,1.2081,1.2116,1.1775,1.2011,316446.6,SYNUSDT
