Date,Open,High,Low,Close,Volume,Asset_name
2024-08-08 08:00:00,4.352,6.47,4.352,6.169,2869883.21,TONUSDT
2024-08-08 12:00:00,6.17,6.364,6.137,6.276,2131600.93,TONUSDT
2024-08-08 16:00:00,6.275,6.316,6.122,6.143,1039866.24,TONUSDT
2024-08-08 20:00:00,6.142,6.281,6.056,6.218,1160304.73,TONUSDT
2024-08-09 00:00:00,6.217,6.218,6.081,6.196,741859.26,TONUSDT
2024-08-09 04:00:00,6.196,6.6,6.191,6.405,3968253.33,TONUSDT
2024-08-09 08:00:00,6.405,6.624,6.377,6.379,1817492.83,TONUSDT
2024-08-09 12:00:00,6.379,6.832,6.376,6.741,2987793.96,TONUSDT
2024-08-09 16:00:00,6.741,6.817,6.551,6.582,1235878.62,TONUSDT
2024-08-09 20:00:00,6.58,6.63,6.514,6.619,476888.27,TONUSDT
2024-08-10 00:00:00,6.619,6.734,6.605,6.706,698934.22,TONUSDT
2024-08-10 04:00:00,6.705,6.739,6.639,6.711,601084.26,TONUSDT
2024-08-10 08:00:00,6.711,6.846,6.668,6.679,2243674.99,TONUSDT
2024-08-10 12:00:00,6.679,6.73,6.599,6.607,713174.31,TONUSDT
2024-08-10 16:00:00,6.607,6.729,6.604,6.7,596655.69,TONUSDT
2024-08-10 20:00:00,6.7,6.726,6.664,6.673,279885.67,TONUSDT
2024-08-11 00:00:00,6.674,6.725,6.631,6.681,536585.23,TONUSDT
2024-08-11 04:00:00,6.68,6.684,6.576,6.596,556677.26,TONUSDT
2024-08-11 08:00:00,6.596,6.639,6.439,6.476,1086444.34,TONUSDT
2024-08-11 12:00:00,6.475,6.49,6.28,6.296,977113.38,TONUSDT
2024-08-11 16:00:00,6.297,6.359,6.218,6.221,856003.57,TONUSDT
2024-08-11 20:00:00,6.221,6.247,6.154,6.21,602719.24,TONUSDT
2024-08-12 00:00:00,6.21,6.243,6.134,6.168,497904.89,TONUSDT
2024-08-12 04:00:00,6.167,6.316,6.057,6.294,1048096.56,TONUSDT
2024-08-12 08:00:00,6.294,6.586,6.243,6.56,1837154.16,TONUSDT
2024-08-12 12:00:00,6.562,6.63,6.355,6.504,1256419.18,TONUSDT
2024-08-12 16:00:00,6.504,6.516,6.282,6.298,742833.73,TONUSDT
2024-08-12 20:00:00,6.299,6.333,6.192,6.27,473860.04,TONUSDT
2024-08-13 00:00:00,6.271,6.292,6.205,6.229,461540.94,TONUSDT
2024-08-13 04:00:00,6.23,6.356,6.186,6.32,542428.54,TONUSDT
2024-08-13 08:00:00,6.32,6.348,6.24,6.292,489503.53,TONUSDT
2024-08-13 12:00:00,6.29,6.419,6.275,6.314,1338629.8,TONUSDT
2024-08-13 16:00:00,6.314,6.495,6.305,6.466,1005368.38,TONUSDT
2024-08-13 20:00:00,6.466,6.531,6.433,6.456,480511.03,TONUSDT
2024-08-14 00:00:00,6.455,6.65,6.392,6.63,658514.62,TONUSDT
2024-08-14 04:00:00,6.63,6.79,6.577,6.76,1053308.97,TONUSDT
2024-08-14 08:00:00,6.76,7.269,6.714,7.1,4058180.19,TONUSDT
2024-08-14 12:00:00,7.101,7.157,6.855,6.956,3034463.69,TONUSDT
2024-08-14 16:00:00,6.955,7.081,6.927,7.018,1456596.25,TONUSDT
2024-08-14 20:00:00,7.018,7.026,6.888,6.89,641712.7,TONUSDT
2024-08-15 00:00:00,6.889,6.914,6.696,6.745,1166635.38,TONUSDT
2024-08-15 04:00:00,6.746,6.747,6.627,6.697,903535.84,TONUSDT
2024-08-15 08:00:00,6.697,6.725,6.475,6.583,1733490.37,TONUSDT
2024-08-15 12:00:00,6.583,6.722,6.562,6.702,1940651.77,TONUSDT
2024-08-15 16:00:00,6.702,6.727,6.43,6.483,1689285.15,TONUSDT
2024-08-15 20:00:00,6.483,6.649,6.453,6.597,894764.63,TONUSDT
2024-08-16 00:00:00,6.598,6.635,6.544,6.634,1023414.31,TONUSDT
2024-08-16 04:00:00,6.634,6.886,6.62,6.642,4587394.15,TONUSDT
2024-08-16 08:00:00,6.642,6.661,6.433,6.488,2757927.31,TONUSDT
2024-08-16 12:00:00,6.488,6.506,6.376,6.458,1999515.6,TONUSDT
2024-08-16 16:00:00,6.458,6.576,6.456,6.543,1254486.99,TONUSDT
