Date,Open,High,Low,Close,Volume,Asset_name
2020-09-10 04:00:00,10.0,10.162,9.78,9.853,1241.6,TRXUPUSDT
2020-09-10 08:00:00,9.853,9.853,9.471,9.652,750.5,TRXUPUSDT
2020-09-10 12:00:00,9.64,10.491,9.64,9.74,812.69,TRXUPUSDT
2020-09-10 16:00:00,9.852,9.852,8.986,9.063,1503.73,TRXUPUSDT
2020-09-10 20:00:00,9.175,9.627,9.139,9.401,428.68,TRXUPUSDT
2020-09-11 00:00:00,9.456,9.925,8.298,8.418,4998.03,TRXUPUSDT
2020-09-11 04:00:00,8.289,9.108,8.289,8.878,302.87,TRXUPUSDT
2020-09-11 08:00:00,8.946,9.513,8.939,9.022,453.44,TRXUPUSDT
2020-09-11 12:00:00,9.315,10.201,9.263,9.879,975.33,TRXUPUSDT
2020-09-11 16:00:00,10.008,10.541,9.91,10.132,1267.06,TRXUPUSDT
2020-09-11 20:00:00,10.082,10.143,9.686,9.764,358.65,TRXUPUSDT
2020-09-12 00:00:00,9.815,9.815,9.2,9.362,744.57,TRXUPUSDT
2020-09-12 04:00:00,9.505,9.505,9.089,9.415,2215.47,TRXUPUSDT
2020-09-12 08:00:00,9.333,9.333,8.903,9.025,2126.64,TRXUPUSDT
2020-09-12 12:00:00,9.144,9.261,8.809,9.261,843.51,TRXUPUSDT
2020-09-12 16:00:00,9.051,9.415,8.989,9.317,744.92,TRXUPUSDT
2020-09-12 20:00:00,9.409,9.5,9.255,9.31,1461.31,TRXUPUSDT
2020-09-13 00:00:00,9.224,9.375,8.843,9.375,1048.6,TRXUPUSDT
2020-09-13 04:00:00,9.115,9.137,8.807,8.949,2037.18,TRXUPUSDT
2020-09-13 08:00:00,8.992,8.993,8.029,8.774,2388.31,TRXUPUSDT
2020-09-13 12:00:00,8.739,8.957,7.7,7.749,5429.64,TRXUPUSDT
2020-09-13 16:00:00,7.654,7.68,6.848,7.68,4317.67,TRXUPUSDT
2020-09-13 20:00:00,7.67,7.778,7.298,7.757,566.42,TRXUPUSDT
