Date,Open,High,Low,Close,Volume,Asset_name
2023-11-24 08:00:00,1.359,1.474,1.216,1.277,7821113.37,VICUSDT
2023-11-24 12:00:00,1.279,1.292,1.226,1.243,1874433.75,VICUSDT
2023-11-24 16:00:00,1.243,1.265,1.21,1.247,1265876.16,VICUSDT
2023-11-24 20:00:00,1.246,1.289,1.234,1.251,618636.04,VICUSDT
2023-11-25 00:00:00,1.251,1.298,1.23,1.248,1104822.25,VICUSDT
2023-11-25 04:00:00,1.248,1.253,1.221,1.234,909241.28,VICUSDT
2023-11-25 08:00:00,1.234,1.235,1.14,1.16,2385079.01,VICUSDT
2023-11-25 12:00:00,1.16,1.199,1.154,1.168,1070350.55,VICUSDT
2023-11-25 16:00:00,1.167,1.189,1.154,1.171,699052.63,VICUSDT
2023-11-25 20:00:00,1.172,1.19,1.165,1.174,458605.4,VICUSDT
2023-11-26 00:00:00,1.175,1.243,1.171,1.205,1158978.78,VICUSDT
2023-11-26 04:00:00,1.205,1.22,1.175,1.184,530788.2,VICUSDT
2023-11-26 08:00:00,1.183,1.19,1.155,1.159,990067.72,VICUSDT
2023-11-26 12:00:00,1.159,1.176,1.12,1.148,1143509.81,VICUSDT
2023-11-26 16:00:00,1.148,1.155,1.047,1.101,1669391.06,VICUSDT
2023-11-26 20:00:00,1.103,1.14,1.09,1.117,428768.4,VICUSDT
2023-11-27 00:00:00,1.119,1.126,1.052,1.076,605939.56,VICUSDT
2023-11-27 04:00:00,1.078,1.095,1.049,1.062,718132.9,VICUSDT
2023-11-27 08:00:00,1.061,1.096,1.03,1.066,997089.85,VICUSDT
2023-11-27 12:00:00,1.064,1.07,1.02,1.029,768671.55,VICUSDT
2023-11-27 16:00:00,1.029,1.06,1.002,1.016,828016.92,VICUSDT
2023-11-27 20:00:00,1.019,1.06,1.003,1.05,353914.13,VICUSDT
2023-11-28 00:00:00,1.048,1.172,1.033,1.11,1564084.66,VICUSDT
2023-11-28 04:00:00,1.11,1.165,1.08,1.087,1831187.33,VICUSDT
2023-11-28 08:00:00,1.089,1.095,1.035,1.074,801984.51,VICUSDT
2023-11-28 12:00:00,1.072,1.13,1.06,1.101,839713.19,VICUSDT
2023-11-28 16:00:00,1.101,1.104,1.07,1.078,522494.38,VICUSDT
2023-11-28 20:00:00,1.078,1.17,1.075,1.093,1044596.6,VICUSDT
2023-11-29 00:00:00,1.093,1.13,1.08,1.108,337935.59,VICUSDT
2023-11-29 04:00:00,1.108,1.12,1.065,1.085,479051.85,VICUSDT
2023-11-29 08:00:00,1.085,1.09,1.053,1.059,518246.23,VICUSDT
2023-11-29 12:00:00,1.061,1.075,1.047,1.062,519307.72,VICUSDT
2023-11-29 16:00:00,1.06,1.087,1.048,1.073,291490.8,VICUSDT
2023-11-29 20:00:00,1.07,1.08,1.05,1.057,275441.63,VICUSDT
2023-11-30 00:00:00,1.055,1.071,1.043,1.053,249790.42,VICUSDT
2023-11-30 04:00:00,1.05,1.069,1.048,1.062,253982.05,VICUSDT
2023-11-30 08:00:00,1.064,1.066,1.036,1.05,310815.24,VICUSDT
2023-11-30 12:00:00,1.048,1.125,1.035,1.056,938175.96,VICUSDT
2023-11-30 16:00:00,1.056,1.098,1.054,1.07,449841.57,VICUSDT
2023-11-30 20:00:00,1.068,1.093,1.065,1.075,248572.25,VICUSDT
2023-12-01 00:00:00,1.075,1.091,1.058,1.082,194169.56,VICUSDT
2023-12-01 04:00:00,1.081,1.09,1.061,1.071,266951.04,VICUSDT
2023-12-01 08:00:00,1.068,1.076,1.057,1.065,411966.64,VICUSDT
2023-12-01 12:00:00,1.063,1.16,1.062,1.088,3035127.88,VICUSDT
2023-12-01 16:00:00,1.088,1.102,1.073,1.085,450859.78,VICUSDT
2023-12-01 20:00:00,1.086,1.11,1.081,1.091,268877.46,VICUSDT
