Date,Open,High,Low,Close,Volume,Asset_name
2024-06-17 08:00:00,0.095,0.295,0.095,0.2468,685291617.4,ZKUSDT
2024-06-17 12:00:00,0.2467,0.262,0.2163,0.2203,416753959.9,ZKUSDT
2024-06-17 16:00:00,0.2204,0.2385,0.2094,0.2127,304194482.0,ZKUSDT
2024-06-17 20:00:00,0.2127,0.2293,0.209,0.213,152614609.1,ZKUSDT
2024-06-18 00:00:00,0.213,0.2158,0.186,0.211,266266251.3,ZKUSDT
2024-06-18 04:00:00,0.211,0.23,0.1986,0.2259,247202036.8,ZKUSDT
2024-06-18 08:00:00,0.2259,0.232,0.1987,0.2055,227328703.9,ZKUSDT
2024-06-18 12:00:00,0.2054,0.2167,0.1967,0.211,205344211.0,ZKUSDT
2024-06-18 16:00:00,0.2111,0.2135,0.1968,0.2037,112551800.1,ZKUSDT
2024-06-18 20:00:00,0.2036,0.227,0.2033,0.2202,130426717.2,ZKUSDT
2024-06-19 00:00:00,0.2202,0.24,0.2126,0.2248,170525985.4,ZKUSDT
2024-06-19 04:00:00,0.2249,0.231,0.2162,0.2264,139931339.4,ZKUSDT
2024-06-19 08:00:00,0.2264,0.2327,0.2146,0.2317,122237539.7,ZKUSDT
2024-06-19 12:00:00,0.2317,0.2386,0.2232,0.2272,180597763.3,ZKUSDT
2024-06-19 16:00:00,0.2272,0.2319,0.221,0.223,80298830.0,ZKUSDT
2024-06-19 20:00:00,0.2231,0.2287,0.2196,0.2242,33782966.3,ZKUSDT
2024-06-20 00:00:00,0.2242,0.2242,0.2102,0.2126,82820495.6,ZKUSDT
2024-06-20 04:00:00,0.2126,0.2218,0.2119,0.2189,58336717.1,ZKUSDT
2024-06-20 08:00:00,0.2188,0.221,0.2052,0.2085,129711503.5,ZKUSDT
2024-06-20 12:00:00,0.2087,0.2133,0.195,0.1972,132319506.9,ZKUSDT
2024-06-20 16:00:00,0.1971,0.203,0.191,0.2029,67368621.9,ZKUSDT
2024-06-20 20:00:00,0.2029,0.203,0.1978,0.1983,22921355.9,ZKUSDT
2024-06-21 00:00:00,0.1983,0.2036,0.1929,0.198,54131916.1,ZKUSDT
2024-06-21 04:00:00,0.198,0.2016,0.1819,0.1831,92987216.0,ZKUSDT
2024-06-21 08:00:00,0.1831,0.189,0.1799,0.1868,81567964.3,ZKUSDT
2024-06-21 12:00:00,0.1867,0.1906,0.1829,0.1854,54559771.3,ZKUSDT
2024-06-21 16:00:00,0.1854,0.1874,0.176,0.1871,70163193.6,ZKUSDT
2024-06-21 20:00:00,0.1871,0.1871,0.1816,0.1822,29356427.6,ZKUSDT
2024-06-22 00:00:00,0.1821,0.1836,0.1727,0.1742,51258492.3,ZKUSDT
2024-06-22 04:00:00,0.1741,0.1809,0.1741,0.1788,38905401.6,ZKUSDT
2024-06-22 08:00:00,0.1788,0.1849,0.1773,0.1824,55445818.1,ZKUSDT
2024-06-22 12:00:00,0.1823,0.1886,0.1815,0.1877,57126285.2,ZKUSDT
2024-06-22 16:00:00,0.1879,0.1885,0.1825,0.1855,38242790.2,ZKUSDT
2024-06-22 20:00:00,0.1856,0.1861,0.1816,0.1818,13285967.2,ZKUSDT
2024-06-23 00:00:00,0.1818,0.186,0.1811,0.184,26093098.8,ZKUSDT
2024-06-23 04:00:00,0.184,0.1844,0.1791,0.1841,26152614.4,ZKUSDT
2024-06-23 08:00:00,0.1841,0.185,0.1767,0.1785,26281009.3,ZKUSDT
2024-06-23 12:00:00,0.1785,0.1811,0.1743,0.176,31451137.0,ZKUSDT
2024-06-23 16:00:00,0.1759,0.1768,0.168,0.1732,41519771.1,ZKUSDT
2024-06-23 20:00:00,0.1731,0.1731,0.1658,0.1679,54081001.2,ZKUSDT
2024-06-24 00:00:00,0.1679,0.1703,0.1627,0.165,51499902.1,ZKUSDT
2024-06-24 04:00:00,0.165,0.1677,0.1591,0.1638,77573654.5,ZKUSDT
2024-06-24 08:00:00,0.1639,0.1652,0.152,0.1601,106890801.4,ZKUSDT
2024-06-24 12:00:00,0.1601,0.1666,0.1592,0.1603,71152932.1,ZKUSDT
2024-06-24 16:00:00,0.1604,0.165,0.158,0.1622,64092725.7,ZKUSDT
2024-06-24 20:00:00,0.1622,0.1724,0.1601,0.1696,77823996.7,ZKUSDT
2024-06-25 00:00:00,0.1695,0.1726,0.1654,0.1693,62019461.4,ZKUSDT
2024-06-25 04:00:00,0.1693,0.1716,0.1638,0.1641,42419097.4,ZKUSDT
2024-06-25 08:00:00,0.1642,0.1673,0.1587,0.1649,63703474.7,ZKUSDT
2024-06-25 12:00:00,0.1648,0.175,0.1648,0.1735,58568322.4,ZKUSDT
2024-06-25 16:00:00,0.1736,0.1769,0.1706,0.1731,38352955.2,ZKUSDT
2024-06-25 20:00:00,0.173,0.18,0.1681,0.1692,38919374.3,ZKUSDT
2024-06-26 00:00:00,0.1692,0.1725,0.1661,0.1687,29364397.2,ZKUSDT
2024-06-26 04:00:00,0.1687,0.1692,0.163,0.1686,31904335.5,ZKUSDT
2024-06-26 08:00:00,0.1687,0.1699,0.163,0.1634,26635120.9,ZKUSDT
2024-06-26 12:00:00,0.1635,0.166,0.157,0.1586,51491293.3,ZKUSDT
2024-06-26 16:00:00,0.1585,0.1609,0.1545,0.1605,34205737.7,ZKUSDT
2024-06-26 20:00:00,0.1605,0.1615,0.1582,0.1588,19200162.9,ZKUSDT
2024-06-27 00:00:00,0.1588,0.1599,0.1534,0.1544,37404998.6,ZKUSDT
2024-06-27 04:00:00,0.1544,0.1559,0.1501,0.1518,45677296.1,ZKUSDT
2024-06-27 08:00:00,0.1519,0.1595,0.1519,0.1582,40258835.4,ZKUSDT
2024-06-27 12:00:00,0.1583,0.1638,0.1583,0.1619,54663193.4,ZKUSDT
2024-06-27 16:00:00,0.1619,0.1627,0.1584,0.1616,22167332.1,ZKUSDT
2024-06-27 20:00:00,0.1616,0.1647,0.1602,0.1611,19598005.6,ZKUSDT
2024-06-28 00:00:00,0.161,0.164,0.1582,0.1592,35340750.9,ZKUSDT
2024-06-28 04:00:00,0.1592,0.1655,0.158,0.1633,44047343.4,ZKUSDT
2024-06-28 08:00:00,0.1633,0.1677,0.1604,0.1609,33173374.3,ZKUSDT
2024-06-28 12:00:00,0.1609,0.1717,0.1565,0.1714,74871674.6,ZKUSDT
2024-06-28 16:00:00,0.1713,0.1724,0.16,0.161,54867918.7,ZKUSDT
2024-06-28 20:00:00,0.161,0.1626,0.1563,0.1577,27421014.2,ZKUSDT
2024-06-29 00:00:00,0.1577,0.1666,0.1568,0.166,30909022.5,ZKUSDT
2024-06-29 04:00:00,0.166,0.171,0.1639,0.1689,44170645.9,ZKUSDT
2024-06-29 08:00:00,0.169,0.172,0.1666,0.1712,39836998.3,ZKUSDT
2024-06-29 12:00:00,0.1711,0.1718,0.1667,0.1705,35850755.5,ZKUSDT
2024-06-29 16:00:00,0.1705,0.1706,0.1638,0.1653,25063061.4,ZKUSDT
